Tên cơ sở,Địa chỉ,Số phòng,Điện thoại,Cơ quan nhà nước quản lý,Email,Website,Giá,Fax
Khách sạn Gia Quý,"Số 007 đường Hoàng Đình Giong, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",28,098 835 33 99,Có,Giaquyhotel@gmail.com,https://giaquyhotelcaobang.business.site/,,
Căn hộ du lịch Norfolk Mansion,"19-21 Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",126,028 3822 6111,Có,sales@norfolkmansion.com.vn,http://norfolkmansion.com.vn,,028 3824 1835
Khách sạn Parkroyal Sài Gòn,"309 B - 311 Nguyễn Văn Trỗi, Phường 01, Quận Tân Bình, Thành phố Hồ Chí Minh",186,028 3842 1111,Có,enquiry.prsgn@parkroyalhotels.com,www.panpacific.com/en/hotels-and-resorts/pr-saigon.html,2.300.000 - 4.100.000,028 3842 4365
Khách sạn Norfolk,"117 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",104,028 3829 5368,Có,info@norfolkhotel.com.vn,https://hotel.thenorfolkgroup.com/,,
Khách sạn Tân Thái Bình,"9-11 Kỳ Đồng, Phường 09, Quận 3, Thành phố Hồ Chí Minh",120,028 3526 1788,Có,hotel@newpacific.vn,www.newpacific.vn,1.800.000 - 5.600.000,028 3526 4428
Khách sạn Novotel Sài Gòn Centre,"167 Hai Bà Trưng, Phường 02, Quận 3, Thành phố Hồ Chí Minh",247,028 3822 4866,Có,h7965@accor.com,www.novotel-saigon-center.com,3.245.000 - 5.187.000,028 3822 1698
Cao Bằng Eco Homestay,"SN 024, tổ 23, Phường Sông Bằng, Thành phố Cao Bằng, Cao Bằng",8,086 825 21 68,Có,caobangecohomestay@gmail.com,caobangecohomestay.com,,
Classique Homestay,"118 Đường Hiến Giang, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",6,033 591 59 99,Có,classique.homestay@gmail.com,,,
Khách sạn Hùng Thịnh,"29 Lê Lợi, Phường Sông Bằng, Thành phố Cao Bằng, Cao Bằng",21,091 985 61 36,Có,,,,
Lan's Homestay,"Làng Háng Khoang, Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",10,096 965 38 53,Có,lankhokhan@gmail.com,http://homestaythacbangioc.com/,,
Khách sạn Thành Loan 2,"Số 131, Tổ 23, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",50,"0206 3857 026, 091 325 28 63",Có,khachsanthanhloan@gmail.com,http://thanhloanhotelcaobang.com.vn,,
Jodevi Homestay,"064 đường Hiến Giang, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",5,033 591 59 99,Có,jodevihomestay@gmail.com,,,
Yến Nhi Homestay,"Ngườm Ngao, Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",2,094 224 17 60,Có,lythidieptkcb@gmail.com,,,
Ngườm Ngao Bản Giốc Homestay,"Khuổi Kỵ, Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",17,091 251 05 63,Có,trieuxuantiep1980@gmail.com,,,
Sa's Home - Homestay,"Số 068, Tổ 28, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",8,036 398 19 76,Có,sale.homestay@gmail.com,,,
Primrose Homestay Cao Bằng,"Số 18, đường Hồng Việt, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",12,098 399 48 69,Có,primrose18vn@gmail.com,,,
Khách sạn Highlands,"Số 19 đường Lý Tự Trọng, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",23,091 698 89 58 - 098 974 99 75,Có,highlandshotel.cb@gmail.com,highlandshotel.com.vn,,
Khách sạn Minh Hoàng,"Số 98 Kim Đồng, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",30,0206 3852 215,Có,minhhoanghotelcb@gmail.com,http://minhhoanghotel.com,250.000 - 400.000,
Gia Bảo Homestay,"Số 138, tổ 7, Phường Ngọc Xuân, Thành phố Cao Bằng, Cao Bằng",8,091 572 89 68,Có,ntvancb@gmail.com,,,
Khách sạn Bảo Ngọc Diamond,"Số 124 Bế Văn Đàn, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",25,088 918 51 86,Có,baongocdiamond.cb@gmail.com,baongocdiamondhotel.com.vn,,
Lương Sơn Homestay,"Tổ 10. Xóm Tả lái, Phường Ngọc Xuân, Thành phố Cao Bằng, Cao Bằng",7,088 806 78 99,Có,billquy85@gmail.com,,,
Khách sạn The Reverie Sai Gòn,"22-36 Nguyễn Huệ, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",286,028 3823 6688,Có,info@thereveriesaigon.com,www.thereveriesaigon.com,,028 3822 3355
Khách sạn Jeanne,"99 phố Kim Đồng, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",12,091 213 01 26,Có,Jeanne@CaoBanghotel.com,www.CaoBanghotel.com,,
Khách sạn Max Boutique,"Số nhà 117, tổ 11, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",45,0206 3881 999,Có,sales@maxboutiquehotel.com,http://maxboutiquehotel.com/,,
Khách sạn Ozon,"Ấp Chống Mỹ, Xã Hàm Rồng, Huyện Năm Căn, Cà Mau",40,0290 3876 868,Có,ozondatmuihotel@gmail.com,http://ozondatmuihotel.com,,0290 3719 999
Khách sạn Nikko Saigon,"235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",334,028 3925 7777,Có,reservation@hotelnikkosaigon.com.vn,www.hotelnikkosaigon.com.vn,,028 3925 7766
Khách sạn Windsor Plaza,"18 An Dương Vương, Phường 09, Quận 5, Thành phố Hồ Chí Minh",376,028 3833 6688,Có,​wph-gm@windsorplazahotel.com,www.windsorplazahotel.com,3.240.000 - 26.770.000,028 3833 6888
Khách sạn Best CM Holtel,"463C Nguyễn Trãi, Phường 9, Thành phố Cà Mau, Cà Mau",85,0290 3829 828,Có,bestcamau@gmail.com,,,
Khách sạn Phú Cường,"81 Phan Ngọc Hiển, Phường 4, Thành phố Cà Mau, Cà Mau",92,0290 3696 666,Có,info@phucuonghotel.com,https://phucuonghotel.com,,
Khách sạn Lotte Sài Gòn,"2A-4A Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",283,028 3823 3333,Có,info.saigon@lotte.net,www.lottehotel.com/saigon,3.700.000 - 9.400.000,028 3823 2333
Khách sạn Mường Thanh Luxury Buôn Ma Thuột,"81 Nguyễn Tất Thành, Phường Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk",233,0262 3961 555,Có,info@buonmathuot.muongthanh.vn,http://luxurybuonmathuot.muongthanh.com/,1.700.000 - 24.000.000,0262 3961 777
Khách sạn Hoàng Anh Gia Lai,"Số 1 Phù đổng, Phường Phù Đổng, Thành phố Pleiku, Gia Lai",117,0269 3718 450,Có,sales@haglhotelpleiku.vn,www.haglhotelpleiku.vn,950.000 - 3.500.000,0269 3718 457
Khách sạn Sài Gòn - Ban Mê,"01 - 03 Phan Chu Trinh, Phường Thống Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",131,0262 3685 666,Có,info@saigonbanmehotel.com.vn,www.saigonbanmehotel.com.vn,950.000 - 2.100.000,0262 3685 888
Khách sạn Eastin Grand Sài Gòn,"253 Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh",268,028 3844 9222,Có,rsvn@eastingrandsaigon.com,https://www.eastinhotelsresidences.com/eastingrandsaigon/,,
Khách sạn Zen Diamond Suites,"16 Lý Thường Kiệt, Phường Thanh Bình, Quận Hải Châu, Thành phố Đà Nẵng",285,0236 3929 555,Có,info@zendiamondsuites.com,https://zendiamondsuites.com/,,0236 3929 655
Khách sạn Paris Deli,"236 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",108,0236 3896 666,Có,info@parisdelihotel.com,http://parisdelihotel.com/,,0236 3896 665
Khách sạn Song Ngọc,"2B Hùng Vương, Phường 7, Thành phố Cà Mau, Cà Mau",40,0290 3817 303,Có,khachsansongngoccm@gmail.com,,,0290 3817 307
Khách sạn 7. sevensea,"150 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",128,0236 3890 777/ 3890 707,Có,info@sevenseahotel.com,http://sevenseahotel.com/,,
Khách sạn Lê Hoàng Beach,"244 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",109,0236 3688 886,Có,info@lehoangbeachhotel.com,www.lehoangbeachhotel.com,,0236 3911 222
Khách sạn Luxtery,"136 Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",102,0236 3872 828,Có,info@luxteryhotel.com,http://luxteryhotel.com/,,
Khách sạn Thái Hoàng,"354B Nguyễn Trãi, Phường 9, Thành phố Cà Mau, Cà Mau",36,"0290 3685 898, 096 758 19 78",Có,khaviencm@gmail.com,,,
Khách sạn Công Đoàn,"09 Lưu Tấn Tài, Phường 5, Thành phố Cà Mau, Cà Mau",42,0290 3833 245,Có,nhahangkhachsandulichcongdoan@.com.vn,www.congdoancamauhotel.com.vn,,0290 3830 873
Khách sạn Ruby,"Số 20A, Hùng Vương, Phường 7, Thành phố Cà Mau, Cà Mau",40,0290 3787 777,Có,rubyhotel.camau@gmail.com,,300.000 - 600.000,
Khách sạn Karaoke Nguyên Hương,"154A , ấp Cây Trâm , Xã Định Bình, Thành phố Cà Mau, Cà Mau",25,0290 3619 999,Có,sunduongnguyen@gmail.com,,180.000 - 380.000,
Khách sạn Diễm Quỳnh,"Số 459D Nguyễn Trãi, Phường 9, Thành phố Cà Mau, Cà Mau",35,0290 3591 243/ 244,Có,,,200.000 - 400.000,0290 3819 242
Khách sạn Quốc Tế,"179 Phan Ngọc Hiển	, Phường 6, Thành phố Cà Mau, Cà Mau",70,0290 3666 666,Có,quoctehotel@gmail.com,www.quoctehotel.vn,380.000 - 680.000,0290 3834 470
Khách sạn Hải Châu,"Số 229 Hùng Vương, Phường 7, Thành phố Cà Mau, Cà Mau",72,0290 3834 597,Có,kshaichau551111@yahoo.com.vn,,250.000 - 600.000,
Khách sạn Đông Anh,"Số 25 Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",37,0290 3566 777,Có,donganh@donganhhotel.com.vn,www.donganhhotel.com.vn,350.000 - 700.000,0290 3566 999
Khách sạn Huỳnh Như,"234 Lý Thường Kiệt, Khóm 1 , Phường 6, Thành phố Cà Mau, Cà Mau",68,0290 3520 637,Có,doanhuynhnhu96@gmail.com,,300.000 - 600.000,
Khách sạn Hoàng Gia,"29 Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",50,0290 3819 999,Có,hoanggiahotel.camau@gmail.com,,240.000 - 550.000,0290 3815 858
Khách sạn Anh Thư,"Số 385 Lý Thường Kiệt, K5, Phường 6, Thành phố Cà Mau, Cà Mau",20,0290 3835 453,Có,,,200.000 - 250.000,
Khách sạn Việt Hùng,"167 Phạm Hồng Thám, Phường 4, Thành phố Cà Mau, Cà Mau",12,"0290 3540 789, 091 875 36 96",Có,thanhphong021962@gmail.com,,250.000 - 500.000,
Khách sạn Thanh Nhàn 1,"Số 129B Lý Thường Kiệt, Khóm 7, Phường 6, Thành phố Cà Mau, Cà Mau",32,"0290 3565 111, 091 820 49 92",Có,thanhnhanhotel@gmail.com,,200.000 - 500.000,0290 3565 112
Nhà Khách Ken,"17h Huỳnh Thúc Kháng, Phường 7, Thành phố Cà Mau, Cà Mau",25,0290 3666 668,Có,,,,
Nhà nghỉ Hạnh Phúc,"Số 106a Bà Điều, Lý Văn Lâm, Phường 8, Thành phố Cà Mau, Cà Mau",,091 830 58 46,Có,,,,
Khách Sạn Ngọc Bích,"165 khóm 2, Thị trấn Sông Đốc, Huyện Trần Văn Thời, Cà Mau",19,0290 3891 260,Có,,,,
Khách sạn Sao Kim,"Tòa nhà VNPT, số 3 Lưu Tấn Tài, Phường 5, Thành phố Cà Mau, Cà Mau",70,0290 3650 650,Có,info@saokimhotel.vn,http://saokimhotel.vn,,
Khách sạn Thiên Lộc,"Số 68, Quản Lộ Phụng Hiệp, Khóm 2, Phường Tân Thành, Thành phố Cà Mau, Cà Mau",38,"0290 6268 168, 094 202 07 62",Có,,,,
Khách sạn Tiến Phát,"393A Lý Thường Kiệt, Phường 6, Thành phố Cà Mau, Cà Mau",14,"0290 3553 098, 098 368 30 81",Có,thanhnghitran87@gmail.com,,,
Khách sạn Thanh Trúc,"113 Ngô Quyền, Phường 1, Thành phố Cà Mau, Cà Mau",19,"0290 3820 021, 091 989 61 46",Có,thanhtruchotelcamau@mail.com,,,
Khách sạn Nam Kiều,"132 Ngô Quyền, Phường 9, Thành phố Cà Mau, Cà Mau",60,"0290 3589 777, 098 298 64 32",Có,khachsannamkieucm@gmail.com,,,
Khách sạn nghỉ dưỡng Victoria Cần Thơ,"Khu DL phường Cái Khế, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",92,0292 3810 111,Có,resa.cantho@victoriahotels.asia,www.victoriahotels.asia/vi/hotels-resorts/cantho,,0292 3829 259
Khách sạn Đông Hà Fortuneland,"141 Trần Văn Khéo, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",171,0292 3656 656,Có,sales@fortunelandhotel.com,www.fortunelandhotel.com,1.300.000 - 3.600.000,
Khách sạn Vạn Phát Riverside,"02 nguyễn văn cừ, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",117,0292 3645 645,Có,info@vanphatriverside.com,www.vanphatriverside.com,1.200.000 - 3.000.000,0292 3645 645
Khách sạn Ninh Kiều 2,"3 Đại lộ Hoà Bình, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",104,0292 3789 999/ 6252 477,Có,contact@ninhkieuhotel.com,www.ninhkieuhotel.com,840.000 - 2.300.000,0292 6252 477
Khách sạn Vinpearl Cần Thơ,"Số 209 Đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ",262,0292 3761 888,Có,res.VPCHCT@vinpearl.com,https://www.vinpearl.com/vi/hotels/vinpearl-hotel-can-tho,2.500.000 - 25.000.000,
Khách sạn Mường Thanh Luxury Cần Thơ,"Khu E1 Cồn Cái Khế, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",308,0292 3688 888,Có,info@cantho.muongthanh.vn,http://luxurycantho.muongthanh.com/,2.800.000 - 20.000.000,0292 3688 889
Khách sạn Mường Thanh Luxury Cà mau,"Lô C3A, Khu Trung Tâm Hành Chính - Chính Trị Cà Mau, Phường 9, Thành phố Cà Mau, Cà Mau",177,0290 2228 888,Có,info@camau.muongthanh.vn,http://luxurycamau.muongthanh.com/,1.300.000 - 14.000.000,0290 2228 887
Khách sạn nghỉ dưỡng Thư Duy,"323 Lý Thường Kiệt, khóm 9, Phường 6, Thành phố Cà Mau, Cà Mau",,0290 6579 999,Có,thuduyresort@gmail.com,www.thuduyresort.com,,
Khách sạn The Mira,"555B Đại Lộ Bình Dương, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",186,0274 3678 888,Có,info@themirahotel.com.vn/ reservation@themirahotel.com.vn,www.themirahotel.com.vn,2.000.000 - 6.000.000,0274 3678 888
Khách sạn nghỉ dưỡng Lan Rừng,"Tỉnh lộ 44A, Thị trấn Phước Hải, Huyện Đất Đỏ, Bà Rịa - Vũng Tàu",368,0254 3679 939,Có,reserv.phuochai@lanrung.com.vn,https://lanrung.com.vn/,,
Khách sạn Golf Phú Mỹ,"1 Nguyễn Văn Linh, Phường Phú Mỹ, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu",100,0254 6266 266,Có,info@golfphumy.com,www.golfphumy.com,2.450.000 - 7.000.000,0254 3923 932
Khách Sạn Hương Sen,"Số 02, Đường Nguyễn Huệ, Phường Tân Xuân, Thị xã Đồng Xoài, Bình Phước",22,0271 8386 868,Có,khachsanngoclanbp@gmail.com,,,
Khách sạn An Lộc Hotel & Spa,"Quốc lộ 13, Phường Hưng Chiến, Thị xã Bình Long, Bình Phước",36,0271 3611 222,Có,info@anlochotelspa.com,www.anlochotelspa.com,,0271 3611 444
Khách sạn Malibu,"263 Lê Hồng Phong, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",209,"0254 3577 779, 094 1871 644",Có,reserv@malibuhotel.com.vn,www.malibuhotel.com.vn,,0254 3577 790
Khách sạn nghỉ dưỡng VũngTàu Intourco,"1A Thùy Vân, Phường 8, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",151,0254 3585 325/ 3585 326,Có,info@intourcoresort.com,www.intourcoresort.com,1.950.000 - 10.500.000,
Khách sạn New Wave,"151B Thùy vân, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",140,"0254 3535 333, 093 3460 303",Có,sales@newwavevungtau.vn,www.newwavevungtau.vn,2.000.000 - 5.000.000,0254 3526 596
Khách sạn nghỉ dưỡng biển Carmelina,"Ấp Hồ Tràm, Xã Phước Thuận, Huyện Xuyên Mộc, Bà Rịa - Vũng Tàu",142,0254 3779 977,Có,info@carmelinaresort.com,www.carmelinaresort.com,3.570.000 - 8.930.000,0254 3782 233
Khách sạn Novotel Nha Trang,"50 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",154,0258 6256 900,Có,H6033-RE@accor.com,www.novotelnhatrang.com,4.421.000 - 7.636.000,0258 6256 901
Khách sạn Ibis Styles Nha Trang,"86 Hùng Vương, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",311,0258 6274 997,Có,h9578@accor.com,https://ibisstylesnhatrang.com/vi/,1.880.000 - 3.293.000,0258 6274 996
Khách sạn Nha Trang Lodge,"42 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",125,"0258 3521 500/ 3521 800, 098 9460 386",Có,sales@nhatranglodge.com,www.nhatranglodge.com,1.600.000 - 5.500.000,0258 5256 777
Khách sạn Dendro Gold,"86/04 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",210,0258  3524 779,Có,info@dendrogold.com,http://www.dendrogold.com/,,0258  3524 689
Khách sạn Nha Trang Palace,"09 Yersin, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",169,0258 3563 191,Có,info@nhatrangpalace.com.vn,www.nhatrangpalace.vn,,0258  3563 198
Nhà nghỉ Mai Vàng,"15/6, Phường Long Thủy, Thị xã Phước Long, Bình Phước",10,098 622 21 14,Có,maivangpl01@gmail.com,,,0271 3778 550
Khách sạn Tân Hương,"số 285, đường ĐT 741, Xã Phú Riềng, Huyện Phú Riềng, Bình Phước",10,090 723 56 78,Có,vnptbinhphuoc@gmail.com,https://mybinhphuoc.vn,,
Khách sạn nghỉ dưỡng Champa Island,"304 đường 2/4, Phường Vĩnh Phước, Thành phố Nha Trang, Khánh Hòa",527,0258 3827 827/ 3568 892,Có,info@champaislandresort.vn,www.champaislandresort.vn,2.000.000 - 15.000.000,
Khách sạn nghỉ dưỡng Đà Lạt Edensee Lake,"Khu chức năng VII.2 - Khu Du lịch Hồ Tuyền Lâm, Phường 4, Thành phố Đà Lạt, Lâm Đồng",112,"0263 3831 515, 0931 535 378",Có,info@dalatedensee.com,https://www.dalatedensee.com,3.600.000 - 38.800.000,0263 3524 499
Khách sạn Sen Việt Premium Nha Trang,"116A Hồng Bàng, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",99,0258 3886 333,Có,info@senvietpremiumhotels.com,www.senvietpremiumhotels.com,1.300.000 - 3.600.000,0258 3511 613
Khách sạn TTC Premium Đà Lạt,"4 Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",78,0263 3826 042,Có,sales.dalat@ttchotels.com,https://dalat.ttchotels.com/,1.650.000 - 3.200.000,0263 3830 396
Khách sạn Sammy Đà Lạt,"01 Lê Hồng Phong, Phường 4, Thành phố Đà Lạt, Lâm Đồng",92,0263 3545 454,Có,info@sammyhotel.vn,www.sammyhotel.vn,,0263 3541 029
Khách sạn Sài Gòn - Đà Lạt,"180 đường 3 tháng 2, Phường 4, Thành phố Đà Lạt, Lâm Đồng",160,0263 3556 789,Có,hotel@saigondalat.com,www.saigondalathotel.com,3.000.000 - 50.000.000,0263 3551 155
Khách sạn Mường Thanh Holiday Đà Lạt,"42 Phan Bội Châu, Phường 1, Thành phố Đà Lạt, Lâm Đồng",80,0263 3578 888,Có,info@dalat.muongthanh.vn,www.holidaydalat.muongthanh.com,,0263 3597 777
Khách sạn Liberty Central Nha Trang,"9 Biệt Thự, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",227,0258 3529 555,Có,frontdesk.lcn@libertyhotels.com.vn,https://www.libertycentralnhatrang.com/,2.930.000 - 4.830.000,
Khách sạn nghỉ dưỡng Mỹ Lệ,"DT741, xã Long Hưng, Xã Bù Gia Mập, Huyện Bù Gia Mập, Bình Phước",15,0271 3725 689,Có,pkd@myle.vn,www.myletourism.com.vn,,
Nhà nghỉ Minh Hiếu,"Số 303 Nguyễn Du, tổ 1, khu phố Phú Xuân, Phường Phú Thịnh, Thị xã Bình Long, Bình Phước",15,097 356 63 79,Có,nhanghiminhhieu@gmail.com,www.nhanghibinhlong.com,,
Khách sạn Monet Garden Villa,"Số 3 Nguyễn Du, Phường 7, Thành phố Đà Lạt, Lâm Đồng",122,0263 3810 826,Có,hadxdalatresort@hagl.com.vn,www.hoanganhdatxanhresort.com.vn,,0263 3549 036
Khách sạn La Sapinette Đà Lạt,"1 Phan Chu Trinh, Phường 9, Thành phố Đà Lạt, Lâm Đồng",91,0263 3550 979,Có,rsvn@lasapinette.com / hotel@lasapinette.com,www.lasapinette.com,1.300.000 - 2.100.000,0263 3550 595
Nhà nghỉ Bảo Trâm,"Số 1 Lê Văn Duyệt , Phường Thác Mơ, Thị xã Phước Long, Bình Phước",12,091 915 17 77,Có,,,,
Khách sạn nghỉ dưỡng Sao Việt,"Núi Thơm, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",93,0257 3789 999,Có,info@vietstarresort.com,www.vietstarresort.com,1.900.000 - 5.200.000,0257 3793 473
Khách sạn nghỉ dưỡng Sài Gòn - Ninh Chữ,"19 An dương Vương, Thị trấn Khánh Hải, Huyện Ninh Hải, Ninh Thuận",102,0259 3876 010,Có,sales@saigonninhchuhotel.com.vn,www.saigonninhchuhotel.com.vn,1.570.000 - 4.200.000,
Khách sạn Kaya Phú Yên,"238 Hùng Vương, Phường 7, Thành phố Tuy Hoà, Phú Yên",82,0257 3819 999,Có,info@kayahotel.com.vn,http://kayahotel.com.vn,890.000 - 14.500.000,
Khách sạn nghỉ dưỡng Terracotta Đà Lạt,"Phân Khu chức năng 7.9, Khu Du Lịch Hồ Tuyền Lâm, Phường 3, Thành phố Đà Lạt, Lâm Đồng",261,0263 3883 838,Có,sales.dalat@terracottaresort.com,https://terracottaresort.com/,2.370.000 - 5.770.000,
Khách sạn Quốc Hùng,"81 Hùng Vương, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",10,0271 3886 968,Có,,,,
Khách Sạn Ngọc Trâm,"353 QL 14, Phường Tân Thiện, Thị xã Đồng Xoài, Bình Phước",29,098 675 75 44,Có,,http://khachsandongxoai.com,230.000 - 350.000,
Nhà nghỉ Quỳnh Anh,"Hồ Long Thủy, Phường Thác Mơ, Thị xã Phước Long, Bình Phước",20,0271 6558 568,Có,,,,
Khách sạn Bích Nga,"332 QL14, Phường Tân Đồng, Thị xã Đồng Xoài, Bình Phước",20,"0271 3879 185, 090 913 04 56",Có,,,220.000 - 400.000,
Khách Sạn Hùng Oanh,"50 Trần Phú, Phường Tân Phú, Thị xã Đồng Xoài, Bình Phước",40,0271 6293 838,Có,hungoanhhotel@gmail.com,https://hungoanhhotel.business.site,,
Khách sạn nghỉ dưỡng Victoria Hội An,"Âu Cơ, Phường Cửa Đại, Thành phố Hội An, Quảng Nam",109,0235 3927 040,Có,resa.hoian@victoriahotels.asia,https://www.victoriahotels.asia/en/hotels-resorts/hoian.html,4.500.000 - 7.700.000,0235 3927 041
Khách sạn nghỉ dưỡng biển Hội An,"1 Cửa Đại, Phường Cửa Đại, Thành phố Hội An, Quảng Nam",121,0235 3927 011,Có,reservation@hoianbeachresort.com.vn,www.hoianbeachresort.com.vn,3.300.000 - 7.800.000,0235 3927 019
Khách sạn Vinpearl Resort & Spa Hội An,"Tổ 6, khối Phước Hải, Phường Cửa Đại, Thành phố Hội An, Quảng Nam",218,0235 3753 333,Có,info.VPRSHA@vinpearl.com,https://vinpearl.com/vi/hotels/vinpearl-resort-spa-hoi-an,4.300.000 - 43.700.000,
Khách sạn nghỉ dưỡng Anantara Hội An,"Số 1 Phạm Hồng Thái, Phường Minh An, Thành phố Hội An, Quảng Nam",94,0235 3914 555,Có,hoian@anantara.com,https://www.anantara.com/vi/hoi-an,9.000.000 - 11.600.000,
Khách sạn Mường Thanh Grand Quảng Nam,"351A đường Hùng Vương, Phường An Xuân, Thành phố Tam Kỳ, Quảng Nam",233,0235 3555 222,Có,info@quangnam.muongthanh.vn,www.grandquangnam.muongthanh.com,,0235 3555 333
Khách sạn Phương Trang II,"Căn Số 18 Quốc Lộ 14 Phú Thanh , Phường Tân Phú, Thị xã Đồng Xoài, Bình Phước",15,"0271 3885 939, 096 393 39 79",Có,ksphuongtrangdxbp@gmail.com,,220.000 - 500.000,
Khách Sạn Vân Anh,"507 Quốc lộ 14, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",40,0271 3883 167,Có,,,,
Khách sạn Bom Bo,"Quốc lộ 14, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",48,0271 3686 666,Có,bombohotel@gmail.com,www.bombohotel.vn/,,0271 3889 272
Khách sạn Thịnh Sâm,"38 Đinh Tiên Hoàng, Phường Thác Mơ, Thị xã Phước Long, Bình Phước",15,"0271 3779 512, 094 821 82 29",Có,booking@khachsanthinhsam.com,www.khachsanthinhsam.com,,
Khách sạn Sao Mai,"121 Hùng Vương, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",60,0271 3885 946,Có,saomaihotel@yahoo.com.vn,http://saomaibinhphuoc.com/,,
Khách sạn Silkotel Hội An,"14 Hùng Vương, Phường Cẩm Phô, Thành phố Hội An, Quảng Nam",92,0235 3963 399,Có,info.hoian@silkotel.com,https://hoian.silkotel.com/,2.000.000 - 2.700.000,
Khu căn hộ Calidas Landmark 72 Hà Nội,"48-60F, Keangnam Hanoi Landmark Tower, Lô E6, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội",346,024 6282 3000,Có,reservation@calidashanoi.om,www.calidas.com,,024 3772 3800
Khu căn hộ du lịch Sherwood Suites,"192 Nam Kỳ Khởi Nghĩa, Phường 06, Quận 3, Thành phố Hồ Chí Minh",397,028 3888 8866​/ 3823 2288,Có,info@sherwoodresidence.com/ info@sherwoodsuites.vn,www.sherwoodsuites.vn/ www.sherwoodresidence.com/,3.500.000 - 140.000.000,028 3823 2299/ 3825 1651
Khách sạn Mövenpick,"83A Lý Thường Kiệt, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",154,024 3822 2800,Có,hotel.hanoi@moevenpick.com,www.moevenpick-hotels.com/hanoi,,024 3822 2822
