Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Siêu thị Coop Mart Vũng Tàu,"36 Nguyễn Thái Học, Phường 7, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3576 200,cmvungtau@saigonco-op.com.vn,http://www.co-opmart.com.vn/,0254 3576 201
Chợ Bến Đình,"463 Lê Lợi, Phường Thắng Nhì, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
Cửa hàng Yến sào Hoàng Hạc,"176 Nam Kỳ Khởi Nghĩa, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3584 789/ 0946.951.179/ 0355.222.031,yensaohoanghac@gmail.com,https://www.yensaohoanghac.vn/,
Trung tâm thương mại Lapen Center,"33A Đường 30/4, Phường 9, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 098 900 35 51,cskh-lapencenter@lapenasset.vn,http://www.lapencenter.com/,
Chợ nổi Long Xuyên,"khu vực sông Hậu, Phường Mỹ Phước, Thành phố Long Xuyên, An Giang",,,,
Trung tâm thương mại KNG Mall,"2439 Độc Lập Khu phố, Đường Tôn Thất Tùng, TT. Phú Mỹ, Tân Thành, Bà Rịa – Vũng Tàu, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 077 8818 123,,https://www.facebook.com/kngmall/,
Siêu thị Lotte Mart Vũng Tàu,"Góc đường 3/2 và đường Thi Sách, Phường 8, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3565 773/ 0967 093 167,,http://lottemart.com.vn/he-thong/sieu-thi-lotte-mart-vung-tau/,
Chợ Tịnh Biên,"350 Khóm Xuân Hòa, Thị trấn Tịnh Biên, Huyện Tịnh Biên, An Giang",,,,
TTTM Lam Sơn Square,"9 Lê Lợi, Phường 1, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3585 535,,https://www.facebook.com/lamsonsquare.vungtau,
Chợ Xóm Lưới,"Đường Phan Bội Châu, Phường 2, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
Siêu thị Co.op Mart Bà Rịa,"06 Nguyễn Hữu Thọ, KP 2, Phường Phước Trung, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu",0254 3739 359/ 1900.5555.68,,http://www.co-opmart.com.vn/,0254 3.739.368
Siêu thị Tứ Sơn,"102 Nguyễn Tri Phương, Phường Châu Phú B, Thành phố Châu Đốc, An Giang",0296 1900969678/ 0828 969 678,sieuthituson@yahoo.com,http://sieuthituson.vn/,
Chợ đêm Vũng Tàu,"Ngã Ba Nguyễn Biểu – Đào Duy Từ, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",,,,
Chợ Côn Đảo,"Khu 7, đường Phạm Văn Đồng, Huyện Côn Đảo, Bà Rịa - Vũng Tàu",,,,
Chợ nổi Châu Đốc,", Phường Vĩnh Mỹ, Thành phố Châu Đốc, An Giang",,,,
Cơ Sở Dệt Nhuộm Hồng Ngọc,"106 Hương Lộ 2, Khóm Long Hưng, Phường Long Châu, Thị xã Tân Châu, An Giang",0296 0935.822347 / 0918.822347,hongngoctanchau@gmail.com,http://hongngoctanchau.vn/ https://www.facebook.com/hongngocsilk,
Chợ Châu Đốc,"Đường Bạch Đằng, Phường Châu Phú A, Thành phố Châu Đốc, An Giang",0296 3866 242,,,
Cửa hàng Rau quả thực phẩm Antesco,"69-71-73 Nguyễn Huệ, Phường Mỹ Long, Thành phố Long Xuyên, An Giang",0296 3841 196,antesco@antesco.com,http://antescomart.com/,0296 3843 009
Trung tâm thương mại Vincom Plaza Long Xuyên,"1242 Trần Hưng Đạo, Phường Mỹ Bình, Thành phố Long Xuyên, An Giang",0296 0296 6258 866,,https://vincom.com.vn/vi/tttm/vincom-plaza-long-xuyen-an-giang,
Chợ Quán Thành,"Ngã ba Quán Thành, Phường Xương Giang, Thành phố Bắc Giang, Bắc Giang",,,,
Cửa hàng mỳ chũ Nam Oanh,"120 đường Lê Lợi, Phường Lê Lợi, Thành phố Bắc Giang, Bắc Giang",0204 3853 027/0948 091 172,,,
Cửa hàng tranh đá quý Phương Ngọc,"12, đường Hùng Vương, Phường Ngô Quyền, Thành phố Bắc Giang, Bắc Giang",0204 0984 214 096,,,
Công ty TNHH Thương mại Công nghệ Vạn Đức,"Thôn Thủ Dương, Xã Nam Dương, Huyện Lục Ngạn, Bắc Giang",0204 0906 660 138,,http://mygaochu.com/,
Siêu thị Co.op Mart Bạc Liêu,"7 Trần Huỳnh, Phường 7, Thành phố Bạc Liêu, Bạc Liêu",0291 3719 999,,http://www.co-opmart.com.vn/,
Siêu thị TMart Bắc Giang,"03 đường Hùng Vương, Phường Ngô Quyền, Thành phố Bắc Giang, Bắc Giang",,,,
Trung tâm thương mại TNL Plaza Bắc Giang,"08 Nguyễn Văn Cừ, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang",,,https://tnl-lease.vn/sites/tnl/chi-tiet-bds?cid=12,
Chợ đêm Bạc Liêu,"Đường Ngô Gia Tự, Phường 3, Thành phố Bạc Liêu, Bạc Liêu",,,,
Trung tâm thương mại Vincom Plaza Trần Phú,"Khu Trung tâm thương mại, Khóm 1, Phường 3, Thành phố Bạc Liêu, Bạc Liêu",0291 0291 6257 666/ 07816257666,,https://vincom.com.vn/vi/tttm/vincom-plaza-tran-phu-bac-lieu,
Cửa hàng Bánh Gia Bảo,"109 Lê Duẩn, Phường 1, Thành phố Bạc Liêu, Bạc Liêu",0291 0945 34 30 31/ 0949 54 64 28,,https://sites.google.com/site/lh0945343031/co-so-san-xuat-banh-gia-bao,
Hiệu sách Nhân Dân,"108 Xương Giang, Phường Ngô Quyền, Thành phố Bắc Giang, Bắc Giang",0204 3823 877,,,
Chợ Bạc Liêu,"Đường Phan Ngọc Hiển, Phường 3, Thành phố Bạc Liêu, Bạc Liêu",,,,
Chợ Hà Vị,"Ngã 5, đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn, Thành phố Bắc Giang, Bắc Giang",0204 3526 181/ 0912.393.730,,,
Chợ Thương,"Đường Lý Thái Tổ, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang",,,,
Trung tâm thương mại The Imperial,"159 – 163 Thùy Vân, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 3526 688,,https://www.facebook.com/theimperialplaza.vungtau/,
Cơ Sở Sản Xuất Bánh Thái Can,"52 Nguyễn Du, Phường 5, Thành phố Bạc Liêu, Bạc Liêu",,,,
Trung tâm thương mại Hapro Bắc Giang,"Quảng trường 3/2, Phường Hoàng Văn Thụ, Thành phố Bắc Giang, Bắc Giang",0204 39381 707,,https://www.facebook.com/hapro.bacgiang/,
Siêu thị Big C Bắc Giang,"Đường Hùng Vương, Xã Tân Tiến, Thành phố Bắc Giang, Bắc Giang",0204 3523 888,,https://www.bigc.vn/store/big-c-bac-giang-7.html,
Trung tâm thương mại Golden Mall Hiệp Hòa,"Ngã 6 Ông Tượng, Khu 2, Thị trấn Thắng, Huyện Hiệp Hòa, Bắc Giang",0204 0973 77 99 44/ 0702 26 28 26,cskh.goldenmall@gmail.com,https://goldenmall.vn/ https://www.facebook.com/trungtammuasamgoldenmall/,
Trung tâm thương mại Vincom Plaza Bắc Kạn,"Tổ hợp TTTM và nhà ở liền kề, Tổ 8A, Phường Đức Xuân, Thành Phố Bắc Kạn, Bắc Kạn",,,,
Siêu thị Dabaco Lạc Vệ,"Phố Lạc Vệ, Xã Lạc Vệ, Huyện Tiên Du, Bắc Ninh",0222 3720 999,,http://www.dabaco.com.vn/vn/cac-don-vi-truc-thuoc/sieu-thi-dabaco-lac-ve.html,0222 3720 979
Chợ Ngụ,", Xã Nhân Thắng, Huyện Gia Bình, Bắc Ninh",,,,
Chợ Phố Mới,"Khu 1, Thị trấn Phố Mới, Huyện Quế Võ, Bắc Ninh",,,,
Cửa hàng đặc sản Trung Dũng,"Tổ 4 , Phường Nguyễn Thị Minh Khai, Thành Phố Bắc Kạn, Bắc Kạn",0209 8231 068 / 0988.777.270,,,
Chợ Nhớn,"Nằm trên phố Nhà Chung và Chợ nhớn đoạn giao với đường Trần Hưng Đạo, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",,,,
Chợ trung tâm Suối Hoa,"Đường Lê Văn Thịnh, Phường Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh",,,,
Siêu thị Dabaco Nguyễn Cao,"Đường Nguyễn Cao, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",0222 3692 666,,http://www.dabaco.vn/thanh-vien/cac-don-vi-truc-thuoc/sieu-thi-dabaco-nguyen-cao,0222 3813 246
Trung tâm thương mại Dabaco Từ Sơn,"Khu đô thị Đền Đô, đường Lý Thái Tổ, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,,http://www.dabaco.com.vn/vn/cac-don-vi-truc-thuoc/trung-tam-thuong-mai-dabaco-tu-son.html,
Chợ phiên vùng cao Bắc Kạn,", Xã Bằng Thành, Huyện Pác Nặm, Bắc Kạn",,,,
Chợ Đức Xuân,"Đường Trần Hưng Đạo, Phường Đức Xuân, Thành Phố Bắc Kạn, Bắc Kạn",,,,
Cửa hàng Quà Việt,"236 Nguyễn Trãi, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",0222  091 741 56 86/ 0974.415.686,trunghieu.pham82@gmail.com,/ https://qua-viet.business.site/    https://www.facebook.com/quavietbacninh,
Trung tâm thương mại Lan Kim,"Đường Trường Chinh, tổ 5, Phường Phùng Chí Kiên, Thành Phố Bắc Kạn, Bắc Kạn",,,,
Trung tâm Thương mại Himlam Plaza,"22 Đường Lý Thái Tổ, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",0222 1900 6175,himlam@gmail.com,http://bacninhtourism.vn/vi/himlam,
Chợ Bắc Kạn,"Phường Sông Cầu, Thành Phố Bắc Kạn, Phường Sông Cầu, Thành Phố Bắc Kạn, Bắc Kạn",,,,
Trung tâm thương mại Vincom Lý thái Tổ,"Ngã 6 mặt đường Lý Thái Tổ và đường Trần Hưng Đạo, Phường Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh",0222 0868 193 280,,https://vincom.com.vn/vi/tttm/vincom-plaza-ly-thai-bac-ninh,
Trung tâm thương mại Golden Park,"Đường Phương Cầu 1, Xã Phương Liễu, Huyện Quế Võ, Bắc Ninh",0222 0399.046.113 - 0983.599.246,,http://goldenpark-kct.com/,
Trung tâm thương mại Dabaco Quế Võ,"Thị Trấn Phố Mới - Huyện Quế Võ - Bắc Ninh, Thị trấn Phố Mới, Huyện Quế Võ, Bắc Ninh",0222 3623 999,,http://www.dabaco.com.vn/vn/cac-don-vi-truc-thuoc/trung-tam-thuong-mai-dabaco-que-vo.html,
Siêu thị BK Mart,"262, Tổ 5, Phường Sông Cầu, Thành Phố Bắc Kạn, Bắc Kạn",,,,
Siêu thị Dabaco Lý Thái Tổ,"Đường Lý Thái Tổ, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",,,,
Siêu Thị Lan Chi Thuận Thành,"Ngã tư Đông Côi, Thị trấn Hồ, Huyện Thuận Thành, Bắc Ninh",0222 0981 048 384,,https://lanchi.vn/,
Siêu thị MM Mega Market Binh Duong,"Đại Lộ Bình Dương, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",0274 3844 768,mccvn.front-office.st19@mmvietnam.com,http://www.mmvietnam.com/ https://www.facebook.com/MMMegaMarket.Binhduong/,0274 3844 786
Trung tâm thương mại Big C Bình Dương,"555B Đại lộ Bình Dương, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",0274 0937 052 860,,https://www.bigc.vn/store/big-c-binh-duong-30.html,
Trung tâm thương mại Minh Sáng Plaza,"888 Đại lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",0274 3718 090,,https://www.facebook.com/minhsangcompany/,
Cửa hàng hạt điều Bà Tám,"743/18 Cách Mạng Tháng Tám, Khu 10, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",0274 3818 875/ 0918 622 741,hatdieubatambd@gmail.com,http://hatdieubatambd.com,0274 3818 875
Siêu thị LOTTE Mart Bình Dương,"Khu đô thị The Seasons Bình Dương, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",0274 3662 308/ 0916 397 599,,http://lottemart.com.vn/he-thong/sieu-thi-lotte-mart-binh-duong/,
Siêu thị Vinatex Thuận An,"Tầng 2, chợ Lái Thiêu, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",0274 3760 836,,http://dulichbinhduong.org.vn/tin/sieu-thi-vinatex-thuan-an-235,
Chợ đêm – phố đi bộ Bạch Đằng,"Đường Bạch Đằng, Phường Phú Cường, Thành phố Thủ Dầu Một, Bình Dương",,,,
Siêu thị Co.op Mart Bình Dương 2,"Số 1 đường Phú Lợi, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",0274 6259 779,,http://www.coopmart.vn/,0274 6259 889
Trung tâm mua sắm AEON Bình Dương Canary,"Số 01 Đại lộ Bình Dương, Khu phố Bình Giao, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",0274 6259 333 - Ext: 119/ 6259 111,canary.cs@aeonmall-vn.com,https://aeonmall-binhduongcanary.com.vn/,0274 6259 230
Trung tâm thương mại Becamex,"230 Đại lộ Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",0274 3822 655,,https://becamex.com.vn/du-an/trung-tam-thuong-mai-becamex/,0274 3822 713
Chợ Thủ Dầu Một,"144 Nguyễn Thái Học, Phường Phú Cường, Thành phố Thủ Dầu Một, Bình Dương",0274 3822 667,,,
Nhà máy sản xuất Kẹo dừa Bến Tre Đông Á,"379C Nguyễn Văn Tư, Phường 7, Thành phố Bến Tre, Bến Tre",0275 3832 382/ 0888 818 899,info@bentredonga.com,www.bentredonga.com,0275 3832 089
Trung tâm thương mại Sense City Bến Tre,"26A, Trần Quốc Tuấn, Phường 4, Thành phố Bến Tre, Bến Tre",0275 3833 555/ 3833 999,,http://sensecity.vn/bentre/ https://www.facebook.com/sensecitybentre/,0275 3560 811
Cơ sở dầu dừa Ngọc Thư - Escovietnam,"32, Ấp Tích Khánh, Xã Khánh Thạnh Tân, Huyện Mỏ Cày Bắc, Bến Tre",0275 0916.184.881 -  0967.184.881,escocovietnam@gmail.com,http://dauduangocthu.vn/ https://www.escoco.vn/,
Cơ sở kẹo dừa Thanh Long 3,"Quốc lộ 60, Thị trấn Châu Thành, Huyện Châu Thành, Bến Tre",0275 3611 611,,http://keoduathanhlongvn.com.vn/,
Cơ sở kẹo dừa Thanh Long 2,"601/1 QL 60, Ấp 1, Xã Sơn Đông, Thành phố Bến Tre, Bến Tre",0275 3816 746,,http://keoduathanhlongvn.com.vn/,0275 3816 747
Cơ sở kẹo dừa Thanh Long 1,"212B Đại lộ Đồng Khởi, KP5, P. Phú Khương, TP Bến Tre, Thành phố Bến Tre, Bến Tre",0275 3829 690 - 0913 965 030,,http://keoduathanhlongvn.com.vn/,0275 3813 536
Cơ sở mứt dừa Toàn Thắng,"67/1 Ấp Thuận Điền- An Hiệp, Xã An Hiệp, Huyện Châu Thành, Bến Tre",0275 0946 511 946,,https://www.facebook.com/MutduaToanThang/,
Chợ đêm Bến Tre,"Tuyến đường Phan Ngọc Tòng và đường Hùng Vương , Phường Phú Khương, Thành phố Bến Tre, Bến Tre",,,,
Siêu thị Dừa Bến Tre,"HP1.06 Khu đô thị Hưng Phú, Nguyễn Thị Định, Phường Phú Khương, Thành phố Bến Tre, Bến Tre",0275 3829 418/ 3511 672,sieuthidua.bentre@gmail.com,https://sieuthidua.com/,
Siêu thị Lotte Mart,"Số 20 đường Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",028 39 489 055 - 0938 167 692,info@lotte.vn,http://lottemart.com.vn,028 (028) 3775 1575
Bánh Cốm Nguyên Ninh Hàng Than,"11 Hàng Than, Hà Nội, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội",024 093 234 53 03,,,
Chợ Đồng Xuân,"15 Cầu Đông, Phường Đồng Xuân, Quận Hoàn Kiếm, Thành phố Hà Nội",024 38 29 5006,,,
Siêu thị Co.opMart Quy Nhơn,"07 Lê Duẩn, Phường Lý Thường Kiệt, Thành phố Qui Nhơn, Bình Định",0256 3521 321,,http://www.co-opmart.com.vn/ https://www.facebook.com/co.opmartquynhon.vn/,0256 3821 307
Cửa hàng Thế giới quà tặng,"41 Đường Võ Văn Tần, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271 7279 393/ 098 432 41 41,thegioiquatangbp@gmail.com,https://www.facebook.com/thegioiquatangbinhphuoc/,
Siêu thị The Gold Mart Đồng Xoài,"Khu phố 2, Đường Tôn Đức Thắng, Phường Tiến Thành, Thị xã Đồng Xoài, Bình Phước",0271 3666768,info@thegoldmart.vn,http://thegoldmart.vn/,
Cửa hàng hạt điều Dihona,"Thôn Phước Tân, Xã Bình Tân, Huyện Phú Riềng, Bình Phước",0271 0933 31 64 67,dihona.com@gmail.com,http://dihona.vn/,
Siêu thị Co.opMart Đồng Xoài,"860 Phú Riềng Đỏ, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271 3865 555/ 090 396 68 99,,https://coopmartdongxoai.business.site/,0271 3865 444
Siêu thị Ann Store,"26 Phan Đình Phùng, P. Trần Hưng Đạo, Tp. Qui Nhơn, Bình Định, Phường Trần Hưng Đạo, Thành phố Qui Nhơn, Bình Định",0256 0935 332 033,,https://www.facebook.com/annstorequinhon/,
Chợ Khu 2,"110 Nguyễn Huệ, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",,,,
Chợ Khu 6,"Đường Võ Lai, Phường Ngô Mây, Thành phố Qui Nhơn, Bình Định",,,,
Siêu thị Konni39,"18, Lê Hồng Phong, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",0256 0905 902 020/ 0167.694.9401,,https://konni39.vn/    https://vi-vn.facebook.com/Konni39chainstore/,
Chợ Đầm,"24 Phạm Hồng Thái, Phường Thị Nại, Thành phố Qui Nhơn, Bình Định",,,,
Trung tâm thương mại Chợ Lớn,"52A Tăng Bạt Hổ, Phường Lê Lợi, Thành phố Qui Nhơn, Bình Định",0256 3812 331,,,
Vascara Cà Mau,"65 Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",0290 6250 425 - 1800 6909,customerservice@vascara.com,https://www.vascara.com/,
Siêu thị Big C Quy Nhơn,"Trung tâm thương mại Kim Cúc, Khu đô thị Xanh Vũng Chua, Phường Ghềnh Ráng, Thành phố Qui Nhơn, Bình Định",0256 3947 788,,https://www.bigc.vn/store/big-c-quy-nhon-19.html /  https://www.facebook.com/BigCQuyNhonvn/?rf=295709750596319,0256 3947 799
Siêu thị MM Mega Market Quy Nhơn,"Quốc Lộ 1D, Phường Ghềnh Ráng, Thành phố Qui Nhơn, Bình Định",0256 3546 204/ 0935083481,contactus@mmvietnam.com,https://online.mmvietnam.com/store/mm-quy-nhon/    https://vi-vn.facebook.com/MmMegaMarketQuyNhon,0256 3546 246
Chợ Mường Thanh,"Đường Thanh Bình, Phường Thanh Bình, Thành phố Điện Biên Phủ, Điện Biên",,,,
Cửa hàng thời trang Ivy moda,"707 Võ Nguyên Giáp, Phường Tân Thanh, Thành phố Điện Biên Phủ, Điện Biên",0215 0215 655 0888,cskh@ivy.com.vn,https://ivymoda.com,
Cửa hàng thời trang Yody,"543 Đường Võ Nguyên Giáp, Phường Tân Thanh, Thành phố Điện Biên Phủ, Điện Biên",0215 091 252 62 58,cskh@yody.vn,http://yody.vn,
Chợ Xanh (chợ Trung Tâm),"Phố Kim Đồng, Phường Sông Hiến, Thành phố Cao Bằng, Cao Bằng",,,,
Chợ Sông Bằng,"Chợ trung tâm 2, Phường Hợp Giang, Thành phố Cao Bằng, Cao Bằng",,,,
Trung tâm thương mại Sense city,"Số 09, Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",0290 355 5155,,http://sensecity.vn,
Trung tâm Thương mại Vincom Plaza Cà Mau,"Khu phố Thương mại và Trung tâm Thương mại, Phường 1, Thành phố Cà Mau, Cà Mau",0290 730 6688,,,
Cửa hàng đặc sản Cao Bằng Green,"Tỉnh lộ 206 Bản Khuông - Cốc Chia, Xã Đoài Dương, Huyện Trùng Khánh, Cao Bằng",0206 091 581 08 15,caobanggreen@gmail.com,https://caobanggreen.com/,
Cửa hàng thời trang Adam store Cao Bằng,"Số 84 Tổ 2 P. Sông Bằng TP. Cao Bằng , Phường Sông Hiến, Thành phố Cao Bằng, Cao Bằng",,,,
Chợ nổi Cà Mau,"Phường 7, Phường 9, Thành phố Cà Mau, Cà Mau",,,,
Cửa hàng thời trang Juno,"43 Trần Hưng Đạo, Phường 5, Thành phố Cà Mau, Cà Mau",0290 1800 1160,,https://juno.vn/,
Cơ sở lụa Phúc Hưng,"Cơ sở sản xuất: Số 5 ngõ 29/75 Phố Lụa - Showroom 1: Kiot 5, Khu trung tâm bảo tồn và phát triển lụa Vạn Phúc - Showrom 2: Số 10 Phố lụa Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",024 098 272 1582 - 094 728 6668,phuchungsilk@gmail.com,,
Cửa hàng đặc sản Tây Bắc Thái Hưng,"Chợ trung tâm 2, Phường Him Lam, Thành phố Điện Biên Phủ, Điện Biên",0215 090 833 6012 - 096 939 0868,hahai191919@gmail.com,https://www.thaihungdacsantaybac.com/,
Siêu thị Hoa Ba,"Số 12, tổ 1 , Phường Nam Thanh, Thành phố Điện Biên Phủ, Điện Biên",0215 19001908,hb@sieuthihoaba.com.vn,https://sieuthihoaba.com.vn/,
Siêu thị Big C Tân Hiệp,"135 đường Nguyễn Ái Quốc, Khu phố 2, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",0251 0938 006 480,,https://www.bigc.vn/store/big-c-tan-hiep-35.html,
Trung tâm thương mại Vincom+ Sa Đéc,"Khu TTDVTM, đường Nguyễn Tất Thành, Khóm 4, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 0936 337 885,,https://vincom.com.vn/vi/tttm/vincom-sa-dec,
Siêu thị Lotte Mart Biên Hòa,"Lô B-03 Khu TM AMATA, QL 1A, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",0251 389 5454/ 0913 370 237,,http://lottemart.com.vn/he-thong/sieu-thi-lotte-mart-dong-nai/,
Trung tâm thương mại Pegasus,"53-55 Võ Thị Sáu, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",,,https://www.facebook.com/ThePegasusPlaza,
Cửa hàng đặc sản Đất Sen Hồng 2,"17A Trần Thị Nhượng, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 8533 979 / 0949 678 338,dacsandatsenhong@gmail.com,https://dacsandatsenhong.business.site/   https://www.facebook.com/dacsandatsenhong,
Trung tâm thương mại Viva Square,"Tổ hợp khu đô thị thương mại The Viva City, Xã Giang Điền, Huyện Trảng Bom, Đồng Nai",,,https://www.facebook.com/TTTMVivaSquare/,
Trung tâm thương mại Vincom Cao Lãnh,"Trung tâm thương mại và shophouse Cao Lãnh, số 02 Đường 30/04, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277  7306 868,,https://vincom.com.vn/vi/tttm/vincom-plaza-cao-lanh-dong-thap,
Trung tâm thương mại Vincom Biên Hòa,"1096 Phạm Văn Thuận, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",0251 0903.076. 053,,https://vincom.com.vn/vi/tttm/vincom-plaza-bien-hoa-dong-nai,
Siêu thị Co-opMart Biên Hoà,"121 Phạm Văn Thuận, TP. Biên Hòa, Thành phố Biên Hòa, Đồng Nai",0251 3949 992,,http://www.co-opmart.com.vn/,
Cửa hàng đặc sản Đất Sen Hồng,"153 Hùng Vương, Phường 2, Thành phố Cao Lãnh, Đồng Tháp",0277 3896 768 /  0949 678 338,dacsandatsenhong@gmail.com,dacsandatsenhong@gmail.com,
Siêu thị Big C Đồng Nai,"Số 833, Xa lộ Hà Nội, Phường Long Bình Tân, Thành phố Biên Hòa, Đồng Nai",0251 0932 115 263,,https://www.bigc.vn/store/big-c-dong-nai-34.html,
Chợ đêm Biên Hùng,"Trịnh Hoài Đức, Phường Trung Dũng, Thành phố Biên Hòa, Đồng Nai",,,,
Chợ Biên Hòa,"18 Lý Thường Kiệt, Phường Thanh Bình, Thành phố Biên Hòa, Đồng Nai",,,,
Vườn cây trái Hai Kiệt,"Ấp Long Khánh, Xã Long Hậu, Huyện Lai Vung, Đồng Tháp",,,,
Chợ đêm Cao Lãnh,"Đường Duy Tân, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",,,,
Co.opmart Sa Đéc,"Đường Nguyễn Sinh Sắc, Khóm 2, Phường 2, Thành phố Sa Đéc, Đồng Tháp",0277 3889 388/ 3886 388,,https://www.facebook.com/coopsadec/ http://www.co-opmart.com.vn/,0277 0673 995 399
Siêu thị Co.op Mart Cao Lãnh,"Số 01 Ngô Thời Nhậm, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 3535 455,clmarketing@coopmart.vn,http://www.co-opmart.com.vn/ https://www.facebook.com/coopcaolanh/,0277 3889 900
Chợ Cao Lãnh,"02 Nguyễn Du, Phường 2, Thành phố Cao Lãnh, Đồng Tháp",0277 3851 679,,,
Trung tâm thương mại Vincom Phủ Lý,"Tổ Hợp Thương Mại – Dịch vụ Tổng Hợp Hà Nam, Phường Minh Khai, Thành phố Phủ Lý, Hà Nam",0226 0866960125,,https://vincom.com.vn,
Trung tâm thương mại Micom Plaza,"Đường Nguyễn Viết Xuân, KĐT Nam Châu Giang, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",,,,
Siêu thị Lan Chi Đồng Văn,"Đồng Văn, Phường Đồng Văn, Huyện Duy Tiên, Hà Nam",0226 091 660 38 88,info@lanchi.vn,https://lanchi.vn,
Siêu Thị Xanh,"QL38, Đồng Thái, Thị trấn Quế, Huyện Kim Bảng, Hà Nam",0226 094 320 13 38,,,
Siêu thị K-Market,"Đồng Văn, Phường Đồng Văn, Huyện Duy Tiên, Hà Nam",0226  +84 126 314 7263,,,
Chợ Hoàng Su Phì,"Lâm Đồng, Thị trấn Vinh Quang, Huyện Hoàng Su Phì, Hà Giang",,,,
Chợ Tình Khâu Vai,"ĐT 217, Xã Khâu Vai, Huyện Mèo Vạc, Hà Giang",0219 091 247 66 87,,,
Trung tâm thương mại HT,"36 Phố ẩm thực , Phường Quang Trung, Thành phố Hà Giang, Hà Giang",,,,
Chợ trung tâm thị trấn Mèo Vạc,"Thị trấn Mèo Vạc, Thị trấn Mèo Vạc, Huyện Mèo Vạc, Hà Giang",,,,
Chợ phiên Phố Cáo,"Quốc lộ 4C, Xã Phố Cáo, Huyện Đồng Văn, Hà Giang",,,,
Chợ Quản Bạ,"Đường Không Tên, Thị trấn Tam Sơn, Huyện Quản Bạ, Hà Giang",,,,
Chợ Minh Khai,"Lê Đức Thọ, Phường Minh Khai, Thành phố Hà Giang, Hà Giang",,,,
Chợ phiên Đồng Văn,"Đồng Văn, Thị trấn Đồng Văn, Huyện Đồng Văn, Hà Giang",,,,
Chợ Cốc Pài,"Cốc Pài, Xín Mần, Hà Giang, Xã Xín Mần, Huyện Xín Mần, Hà Giang",,,,
Chợ Bắc Quang Hà Giang,"493 Trường Chinh, Thị trấn Việt Quang, Huyện Bắc Quang, Hà Giang",0219 0219 3822 758,,,
