Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Sencha Tea,"Số 1335 Nguyễn Ái Quốc, khu phố 6, Tân Tiến, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",0251 0907 373 345 - 0976 303 190,senchateabh@gmail.com,,
Sushi-Iko,"185 Phan Trung, khu phố 2, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",0251 093 820 47 28,ly_minh_tai2008@yahoo.com,http://Sushiiko.com.vn,
Nhà Hàng Thiên Quế 333,"R001 Toà Nhà Trung Tâm Dịch Amata, khu Thương Mại Amata, phường Long Bình, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",0251 0938 386 661 - (0251) 3992233,amaterrace.bh@gmail.com,http://amaterrace-vn.com,
Wakemi Japanese Restaurant,"đường N1, KDC Võ Thị Sáu, Khu phố 7, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",0251 2685 888 - 0902 983 990,,http://nhahangwakemi.vn,
Bò Sốt Hẻm - Long Thành,"Lô 6, chợ Mới Long Thành, Phường Xuân Trung, Thị xã Long Khánh, Đồng Nai",0251 0355 935 835 - 0971 979 149‬,,,
Nhà hàng BỤI,"Khu Cầu Xéo, đối diện cổng Bắc chợ Mới Long Thành, Phường Xuân Trung, Thị xã Long Khánh, Đồng Nai",0251 0961 624 207,,https://nhahangbui.com.vn,
Nhà hàng lẩu cua Tuấn,"Tổ 17, khu Cầu Xéo, Phường Xuân Trung, Thị xã Long Khánh, Đồng Nai",0251 3844 490 - 0903 399 460,,,
Nhà hàng 86 Seafood,"Đường Trường Chinh, Tổ 34, khu Cầu Xéo, Phường Xuân Trung, Thị xã Long Khánh, Đồng Nai",0251 0943891832 - 0977139286,,,
Nhà Hàng Tiệc Cưới Cát Tường Garden Long Khánh,"174-178 Khổng Tử , Phường Xuân Trung, Thị xã Long Khánh, Đồng Nai",0251 091 159 88 00,,,
Trung tâm hội nghị tiệc cưới Giai Ngẫu,"Hẻm 69 Hoàng Diệu, KP I, Phường Xuân Thanh, Thị xã Long Khánh, Đồng Nai",0251 0942240879,,,
Nhà hàng Kim Ngọc Phát,"1/3A CMT8, Khu phố Hòa Bình, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",0251 0919 034 018,,https://www.kimngocphat.com/,
Nhà hàng tiệc cưới Hoàng Kim Biên Hòa,"223 Nguyễn Ái Quốc, Phường Quang Vinh, Thành phố Biên Hòa, Đồng Nai",0251 381 9595 - 090 163 9595,,https://hoangkimcenter.com/,
Nhà hàng tiêc cưới Eros Palace,"số 15, Đường Đồng Khởi, Phường Tân Tiến, Thành phố Biên Hòa, Đồng Nai",0251 3 999 922,sales@erospalace.com.vn,http://erospalace.com.vn,
Trung tâm hội nghị tiệc cưới Thiên Ân Palace,"792 quốc lộ 1A, KP2, P.Tam Hòa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",0251 389 1245 - 0797 441 522,,,
Trung tâm hội nghị tiệc cưới Golden Lotus,"105B Hà Huy Giáp, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",0251 8822999,,,
Bò Nướng Flamme Bufalo,"237 Trương Định, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",0251 0764.896068,,,
Nhà hàng Alibaba,"96/4 Trương Định, khu phố 2, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",0251 0938 235 379,,,
Nhà Hàng K'Tân,"131A, Đ. CMT8, Phường Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",0251 0932.97.66.77 - 0944.914.739,,,
Golden Palace Biên Hòa,"04-06, Nguyễn Ái Quốc, Phường Tân Tiến, Thành phố Biên Hòa, Đồng Nai",0251 8820 288 - 0783 955 509,info@goldenpalace.com.vn,,
Mongkok Restaurant,"K48, Đường D10, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",0251 1900 232 456,,,
Nhà hàng Phổ Đình Biên Hòa,"171 Phan Trung, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",0251 0906 363 280,,,
Quán 49,"49 Phạm Văn Đồng, , Phường Bình Hưng, Thành phố Phan Thiết, Bình Thuận",0252 097 718 91 63,,,
Thuyền Quán Mũi Né,"173 Huỳnh Thúc Kháng, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 098 120 00 39,,,
Nhà hàng Hai Lúa,"150 Nguyễn Tất Thành, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 093 536 94 06,,,
Nhà hàng Tây Việt – Quán ăn ngon ở Đồng Tháp,"29 Phạm Hữu Lầu, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 067 3881 395,,,
Nhà hàng Hồng Vinh,"126 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 097 117 69 39,nhahanghaisanhongvinh@gmail.com,,
Quán A Hiền,"193 – 195 Điện Biên Phủ, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",0277 098 240 70 99,,,
Quán Ăn Tám Yến,"68 Nguyễn Tất Thành, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 8 776 523 - 3770 522,,,
Hội quán bia Sài Gòn,"1 Hàm Nghi, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 3688 818,,,
Nhà hàng Xẻo Quýt,"Ấp 4 xã Mỹ Hiệp, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 3 910 257,,,
Vườn sinh thái hương quê,"662 Ấp Phú Long, Xã Tân Khánh Đông, Thành phố Sa Đéc, Đồng Tháp",0277 3863 592 - 094 904 97 08,,,
Hải sản Biển Đêm,"70 Phạm Hữu Lầu, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 3877 301,,,
Nhà hàng Ngọc Lan,"210 Nguyễn Huệ, Phường 2, Thành phố Cao Lãnh, Đồng Tháp",0277 3851 498,,,
Lẩu nướng Nghi Linh,"Hùng Vương, khóm 3, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 0355 211 511 - 0349 928 113,,,
Nhà hàng Hòn Rom2,"16 Xuân Thuỷ, Kp. Long Sơn, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 3848 828,sale@honrom.vn,www.honrom.vn,
Milano Coffee,"125 Hùng Vương, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 6289999,milanocoffee.com.vn@gmail.com,https://milanocoffee.com.vn,
POCA HOUSE,"202-204 Lê Duẩn (làng bánh xèo), Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 098 894 93 98,,,
Lotus Coffee,"Số 12, đường Võ Trường Toản, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 3588 838,,,
Hủ tiếu bà Sẩm,"188 Trần Hưng Đạo, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 3869 430,,,
Hủ tiếu Nam Vang Kim Duyên,"59 Nguyễn Sinh Sắc, Phường 3, Thành phố Sa Đéc, Đồng Tháp",0277 090 907 12 49,,https://hu-tiu-nam-vang-kim-duyen.business.site,
Hoa Viên Garden,"Số 02 Điện Biên Phủ, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 097 822 78 78,,,
B.O.B Coffee,"105 Tôn Đức Thắng, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 852 7777 - 0949199089,,,
Nhà hàng ẩm thực Thành Phát,"62 Nguyễn Văn Phát, Khóm Tân Thuận, Phường An Hoà, Thành phố Sa Đéc, Đồng Tháp",0277 0986 666 631 - 0939 532 876,,,
Nhà hàng Tám Thành,"192, đường Nguyễn Tất Thành, Phường An Hoà, Thành phố Sa Đéc, Đồng Tháp",0277 3864 476,,,
Hải sản Lộc Huệ,"517B Nguyễn Văn Phát Khóm 2, Phường 1, Thành phố Sa Đéc, Đồng Tháp",0277 3529799 - 0908101444,,,
Nhà Hàng Cánh Buồm Vàng,"72D Huỳnh Thúc Kháng, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 3748 466,info@goldensail.com.vn,https://goldensail.com.vn/,0252 3748 119
Ẩm Thực KHÔNG GIAN XANH,"369 QL 80 Tân Phú Đông, Phường 3, Thành phố Sa Đéc, Đồng Tháp",0277 0944 560 001,,,
Nhà hàng Vietnam Home Mũi Né,"125 Nguyễn Đình Chiểu, khu phố 1, Thành phố Phan Thiết, Bình Thuận",0252 091 880 36 59,contact@vietnamhomerestaurant.com,http://www.vietnamhomeresstaurant.com,
Nhà Hàng Làng Chài 2,"71 - 73 Trần Thị Nhượng, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 38 63 939,,,
Nhà hàng Ba Lúa,"171A, Ấp Tân Tịch, Xã Tịnh Thới, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 0678517999,,,
Nhà hàng Mộc Bistro Cao Lãnh,"18-20 Đường Số 2, KDC P.1, Tôn Đức Thắng, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 093 511 10 00,,,
Nhà hàng Làng chài,"159  Huỳnh Thục Khang, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 093 116 77 88,huynhhaimuine@gmail.com,http://langchaimuine.com,
Nhà hàng AEm Beer Garden,"168 Thiên Hộ Dương, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 0793 996 969,,,
Nhà hàng Thuần Việt,"218A Nguyễn Huệ, Phường 2, Thành phố Cao Lãnh, Đồng Tháp",0277 088 888 86 18,,https://nha-hang-thuan-viet-restaurant.business.site,
Nhà hàng Lúa vàng,"Số 204 Thiên Hộ Dương, Phường Hoà Thuận, Thành phố Cao Lãnh, Đồng Tháp",0277 3665 959,,,
Nhà hàng Ẩm thực Đại Nam,"99 Đường Trần Thị Nhượng, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 3 978 779 – 0907 863 763 – 0909 059 399,,https://amthucdainam.com/,
Nhà hàng Ẩm thực sinh thái Đầm Sen,"74-76 Trần Quang Diệu, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",0277 091 903 04 02,,,
Nhà hàng Mỹ Trà,"272 Lê Duẩn, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",0277 0918 855 764,,,
Nhà hàng Việt Hà,"206, Phạm Hữu Lầu, Phường 4, Thành phố Cao Lãnh, Đồng Tháp",0277 091 805 42 66,,,
Ẩm Thực Chay Hồng Liên,"số 3 Ngô Thời Nhậm, Phường 1, Thành phố Cao Lãnh, Đồng Tháp",0277 2222 399,,https://com-chay-hong-lien.business.site/,
Ẩm thực Chay Tâm Định,"Đối diện cổng A công viên Sa Đéc, đường Tôn Đức Thắng, Phường An Hoà, Thành phố Sa Đéc, Đồng Tháp",0277 3.775.868 - 0766.903.666,,,
Nhà hàng Sóc Nâu Mũi Né,"5 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 091 814 10 66,,,
Nhà Hàng Mã Gia Quán,"Chợ Mới, Thị trấn Đồng Văn, Huyện Đồng Văn, Hà Giang",0219 094 772 18 88,,,
Quán Ly Dính – Quán phở chua ngon Hà Giang,"543 Nguyễn Trãi, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 097 607 69 79,,,
Nhà hàng Vương Gia,"408a, Lý Tự Trọng, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3608066 - 0912606329,,,
Cơm Niêu An Nhiên,"31B Nguyễn Thái Học, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3888 012,hoangkimxuyenhg1989@gmail.com,https://com-nieu-an-nhien.business.site,
Sam’s Chicken – Quán ăn ngon tại Hà Giang,"185 Nguyễn Thái Học, Phường Minh Khai, Thành phố Hà Giang, Hà Giang",0219 077 366 3888,luukhanhkhqlk7@gmail.com,,
Quán cháo Mộc Miên,"số nhà 140, số 2, Thị trấn Phó Bảng, Huyện Đồng Văn, Hà Giang",0219 0392 222 830 - 01692222830,,,
Nhà hàng Hải Hiền,"3 Tháng 2, Thị trấn Đồng Văn, Huyện Đồng Văn, Hà Giang",0219 3856 515,,,
Nhà hàng Trung Vân,"345 Trần Phú, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 3875 786 - 0912606329,,,
Nhà hàng Non Nước,"15 Lạc Long Quân, Xã Tiến Thành, Thành phố Phan Thiết, Bình Thuận",0252 3846999,nonnuocresort@yahoo.com,www.nonnuocresort.com,0252 3846846
Nhà hàng Tiến Nhị,"15 đường 3/2, Thị trấn Đồng Văn, Huyện Đồng Văn, Hà Giang",0219 01689552252,,,
Nhà hàng Lâm Tùng,"Tổ 3, Thị trấn Đồng Văn, Thị trấn Phó Bảng, Huyện Đồng Văn, Hà Giang",0219 0357 712 066,,,
Nhà hàng Đức Giang,"Nguyễn Văn Linh, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 3875 954 - 0913 288 469,,,
Nhà hàng Âu Việt,"45 Thị Trấn Đồng Văn, Đồng Văn, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219  094 290 58 88,,,
Nhà hàng Cơm Dân Tộc,"18 Nguyễn Văn Linh, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 091 611 14 28,comdantocthuymy@gmail.com,,
Phở 271 Nga Công – Quán ăn ngon tại Hà Giang,"271 Nguyễn Thái Học, Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 094 342 39 29,,,
Nhà Hàng Long Sơn Mũi Né,"Đường 706, Hòn Rơm, Thành phố Phan Thiết, Bình Thuận",0252 383-6055,info@longlinkvietnam.com,https://www.longsonmuine.vn,0252 383-6085
Nhà hàng Sơn Thúy – Quán ăn ngon tại Hà Giang,"Ngõ 457, đường Nguyễn Văn Linh, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219  0915.047.301 - 0943.926.483,,,
Nhà hàng Ngói Đỏ,"Tổ 1, Phường Nguyễn Trãi, Thành phố Hà Giang, Hà Giang",0219 0986294185,,,
Buffet Lẩu Nướng Đường Đôi,"Phương Thiện, Đường Đôi, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 081 485 8688,,,
Ding Tea,"50a Nguyễn Thái Học, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3893 888,,,
Cau Chu Quan SeaFood Lagi,"400 Nguyễn Trường Tộ, kp5, Phường Tân An, Thị xã La Gi, Bình Thuận",0252 0898917772,,,
Harru Quán : In Tokyo Hà Giang,"Sn 308 Lý Tự Trọng (đường chân núi đằng sau sân C10), Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 0979 454 222 - 0868 956 868,,,
Quán Cóc,"Khu dân cư Hoàng Diệu, Nguyễn Văn Trỗi, Thị xã La Gi, Bình Thuận",0252 0902 806 042,,,
Quán Cô Đầu Bếp,"365 Nguyễn Trường Tộ, Phường Tân An, Thị xã La Gi, Bình Thuận",0252 0928 700 079,,,
Trung Hoa Quán Lagi.,"41 Hoàng Diệu, Thị xã La Gi, Bình Thuận",0252 090 870 34 26,,,
Làng nướng Kim Hương,"373/1 Thống Nhất, Thị xã La Gi, Bình Thuận",0252 3870 982,,,
Hashi Sushi,"40 Đào Duy Tùng, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 093 765 87 68,,,
Wow Buffet BBQ & BEER,"Phạm Hùng, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 0916684768,,,
Bulgogi BBQ,"A98 - A99 Hùng Vương, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 094 695 94 07,,,
Hot Japanese food,"lầu 4 Lotte Mart Phan Thiết, khu dân cư Hùng Vương, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 094 947 266,,,
Mojo Cafe Restaurant,"202-204 Tôn Đức Thắng, Huyện Đức Linh, Bình Thuận",0252 3 888 068,,,
Nhà hàng tiệc cưới Viễn Đông,"52 Đại Lộ Nguyễn Tất Thành, Phường Hưng Long, Thành phố Phan Thiết, Bình Thuận",0252 3939 378 - 0915 007 737,nhahangviendongpt@gmail.com.,http://viendongclubphanthiet.com.vn,
Mường Thanh Holiday Mũi Né,"54 Huỳnh Thúc Kháng, Khu Phố 4, Phường Hàm Tiến, Thành phố Phan Thiết, Bình Thuận",0252 3743 794,sm@muine.muongthanh.vn,http://holidaymuine.muongthanh.com,
Champa Resort & Spa,"Lạc Long Quân, Xã Tiến Thành, Thành phố Phan Thiết, Bình Thuận",0252 3846 355,reservation@champaresort.com.vn,http://www.champaresort.com.vn,0252 3846 336
Khách sạn nhà hàng Đồi Dương,"209 Lê Lợi, Thành phố Phan Thiết, Bình Thuận",0252 3821579,info@doiduonghotel.com,http://doiduonghotel.com,0252 3825 858
Khách sạn nhà hàng Bình Minh,"211 Lê Lợi, Thành phố Phan Thiết, Bình Thuận",0252 382 3621,info@binhminhhotel.com.vn,http://binhminhhotel.com.vn,
The Cliff Resort & Residences,"Khu Phố 5, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 3719 138,reservation@thecliffresort.com.vn,http://thecliffresort.com.vn,0252 3719 333
TTC Hotel Premium,"Khu Đồi Dương, Đường Lê Lợi, Phường Hưng Long, Thành phố Phan Thiết, Bình Thuận",0252 3835 666,info@parkdiamondhotel.vn,http://phanthiet.ttchotels.com,0252 3835 667
Nhà hàng TTC Palace,"01 Từ Văn Tư, Phường Phú Trinh, Thành phố Phan Thiết, Bình Thuận",0252 3835 918,info@michelia.vn,http://palace-binhthuan.ttchotels.com,0252 3829 640
Khách sạn nhà hàng Cà Ty,"40 Phan Bội Châu, Bình Thuận",0252 3818 801,info@catyhotel.com,http://catyhotel.com,0252 381 66 19
Wow Buffet - BBQ &Beer,"A33 - A34 Phạm Hùng, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 091 168 46 68,,,
DejaVu,"21 Nguyễn Đình Chiểu, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 0866 000 933,,,
Cham Garden Restaurant,"32 Nguyễn Đình Chiểu, Thành phố Phan Thiết, Bình Thuận",0252 3741 234,reservations@chamvillas.com,http://www.chamvillas.com,
Love Sushi Lounge Cafe,"169/171 Tôn Đức Thắng, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 0773 004 437,,,
Beertown Restaurant & Pub,"B2/40 Hùng Vương 2, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận",0252 089 915 58 00,,,
L’Oceane Restaurant,"Km 9, Phường Phú Hài, Thành phố Phan Thiết, Bình Thuận",0252 3813 000,fbm.phanthiet@victoriahotels.asia,http://victoriahotels.asia,
Lẩu Phan Hà Giang,"Số 11A, Đường Hai Bà Trưng, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 0853 929 222 - 0888 575 456,,,
Lẩu Nướng Golden,"Số 42A Nguyễn Văn Linh - tổ 1 quang trung, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 0943 912 992 - 0856 13 1993,,,
Nhà Hàng Green Karst,"Tổ 3, Đồng Văn, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 096 809 86 19,,,
Nhà hàng Oanh Hiệu,"Tổ 3, TT Đồng Văn, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 0388 859 466,,,
BBQ BEER CLUB,"414 Lý Tự Trọng, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 0344 574 192 - 0915 228 015,,,
Golden BBQ Hà Giang,"42A Nguyễn Văn Linh, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3861 999,,,
Nhà hàng Sông Núi,"tổ 5 , Phường Trần Phú, Thành phố Hà Giang, Hà Giang",0219 0915.982.005,,,
Nhà hàng Dê Đức Hiến,"Đường Sùng Dúng Lù - Tổ 1, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3861.325,,,
Nhà hàng cá Sông Lô,"Sông Lô, tổ 6, Phường Nguyễn Trãi, Thành phố Hà Giang, Hà Giang",0219 3861.882,,,
Quán nhà Sàn cơm dân tộc,"18 đường Nguyễn Văn Linh, Phường Quang Trung, Thành phố Hà Giang, Hà Giang",0219 3861.884,,,
Cá kho làng Vũ Đại,"Gia đình nghệ nhân Trần Luận, Xóm I - thôn Nhân Hậu, Xã Hòa Hậu, Huyện Lý Nhân, Hà Nam",0226 0988.999.525,cakhotranluan@gmail.com,https://www.cakholangvudai.com.vn,
Bún bò Huế 90 Lê Công Thanh,"Quán bún bò Huế số 90 Lê Công Thanh, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 097 647 36 50,,,
Nhà hàng Quang Béo,"Đường ngô gia khảm – khu bờ Tây sông đáy, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 0982 996 882,hanamdefault@vnpt.vn,,
Xôi cô Sen,"128 Lê Công Thanh, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",,,,
Nhà hàng Phương Thảo,"77 Lê Lợi, Phường Lương Khánh Thiện, Thành phố Phủ Lý, Hà Nam",0226 3 850 307,,,
Quán ốc Hoàng Thắng,"22 Trần Hưng Đạo, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 0946 569 500 – 0968 497 500,,,
Nhà hàng vườn đồng quê,"Cầu Nhật Tựu, Duy Hải, Phường Đồng Văn, Huyện Duy Tiên, Hà Nam",0226 3.550.757 - 0983.550.757,,,
EDEN coffee,"224A Trường Chinh, Hai Bà Trưng, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 091 686 79 29,edencoffee2018@gmail.com,https://edencoffeehanam.business.site,
Nhà hàng Lộng Gió,"phía Tây hồ chùa Bầu , Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 3857586,,,
Nhà hàng hải sản Cánh Buồm,"Đồng Văn, Duy Tiên, Hà Nam, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 3555678 - 098 169 55 96,nhahang.canhbuom@gmail.com,,
Nhà hàng Trung Hoa Đại Tửu Lẩu,"72 Tổ 3A Lê Lợi , Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 385 0307,,,
Nhà hàng chay Tuệ Giác 2,"54 Trần Phú, Quang Trung, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226  090 607 16 88,,,
Nhà hàng Biển Khơi,"81 Lê Công Thanh, Phường Trần Hưng Đạo, Thành phố Phủ Lý, Hà Nam",0226 3616 868,,,
Nhà hàng Thanh Hiền,"17, Lý Thái Tổ, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 3851 964 - 0973.140.115,thanhhienhanam@gmail.com,thanhhienhanam@gmail.com,
Nhà hàng Tân Sơn,"118 Lý Thường Kiệt, Phù Vân, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 3 828 369 - 097 380 45 22,nhahangtanson118lythuongkiet@gmail.com,,
Nhà hàng Tuyết Mai,"135 Lê Hoàn, Phường Lam Hạ, Thành phố Phủ Lý, Hà Nam",0226 0386 232 028,,,
Nhà hàng nổi Hồng Phú,"Ngô Quyền, Phường Hai Bà Trưng, Thành phố Phủ Lý, Hà Nam",0226 098 938 66 52,ngovanke050583@gmail.com,,
Lẩu nướng hải sản Thu Huệ,"145 Đường Quy Lưu, Phường Trần Hưng Đạo, Thành phố Phủ Lý, Hà Nam",0226 098 788 34 06,,,
Bún sốt vang,"39 Lê Công Thanh, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",,,,
Bánh Cuốn Chả Phủ Lý - Lý Tuyên,"188 Biên Hòa, Phường Minh Khai, Thành phố Phủ Lý, Hà Nam",0226 094 733 28 75,,,
Quán Lá Việt Nam,"Hồ Vân Sơn, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 094 626 96 62 - 098 6789 236,,,
GoGi House Hà Nam,"Số 189A đường Biên Hòa, Tổ 8, Phường Lương Khánh Thiện, Thành phố Phủ Lý, Hà Nam",0226 7300 668,,,
Manwah Hà Nam (Biên Hòa),"189A Biên Hòa, Lương Khánh Thiện, , Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 7300 662,,,
Nhà hàng Kiều Gia,"Khu Đô thị bờ tây sông Đáy - Đường Ngô Gia Khảm, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 0987 626 034,,,
Lẩu nướng Hàn Quốc Hà Nam,"228 Trường Chinh, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 0961.221.528,,,
Bbq and Hot Pot World Buffet Hà Nam,"114 Trần Phú, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 355.8888 - 0941.766.966,tuan202008@gmail.com,,
Bánh mì Mít,"119 Lê Lợi, Phường Minh Khai, Thành phố Phủ Lý, Hà Nam",0226 094 818 89 34,,,
Quán ăn Cây Khế,"250 Lê Công Thanh, Phường Minh Khai, Thành phố Phủ Lý, Hà Nam",0226 091 438 78 09,,,
Nhà hàng Ngọc Sơn,"255 Tổ 2, Lí Thường Kiệt, Phường Lê Hồng Phong, Thành phố Phủ Lý, Hà Nam",0226 385 2251 - 0915 068 588,,https://sites.google.com/site/nhahangngoc/lien-he,
Làng Nướng Biển Mặn,"khu phố 4 , Thị trấn Tân Khai, Huyện Hớn Quản, Bình Phước",0271 091 717 17 41,,,
Nhà hàng Đất Đỏ,"Phú Riềng Đỏ, Phường Tân Xuân, Thị xã Đồng Xoài, Bình Phước",0271 091 226 32 09,,,
Nhà Hàng Akira Sushi,"108 Hùng Vương, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271  6291 999,,,
Lucky Bò Né & Lẩu Bò,"117 Hùng Vương, Thị xã Đồng Xoài, Bình Phước",,,,
Bánh canh Nguyễn Huệ,"Nguyễn Huệ, Phường Tân Xuân, Thị xã Đồng Xoài, Bình Phước",0271 091 891 95 96,,,
Quán cơm Ba Miền,"367 Quốc lộ 14, Thị xã Đồng Xoài, Bình Phước",,,,
Quán cơm Dũng Đồng Xoài,"6/1124 Phú Riềng Đỏ, Phường Tân Đồng, Thị xã Đồng Xoài, Bình Phước",0271 0967033357,,,
Lẩu dê Sân Banh,"Tổ 1 Khu phố 4, Thị trấn Chơn Thành, Huyện Chơn Thành, Bình Phước",0271 093 466 63 34,,,
Quán phở số 1,"106 Hùng Vương, Thị xã Đồng Xoài, Bình Phước",,,,
Hủ tiếu mực Nàng Kiều,"Đường số 20, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",,,,
Hằng Quán,"130 Lê Thánh Tôn, Phường 1, Thành phố Tuy Hoà, Phú Yên",0257 0935221188,,,
Nhà hàng Bến Thủy,"281 Lê Lợi, Phường 1, Thành phố Tuy Hoà, Phú Yên",0257 0903 099 246,,http://www.benthuy.com/,
Lẩu Hơi Quốc Thực,"Số 10 đường Biên Hoà kéo dài Phủ Lý Hà Nam , Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 0899312555 - 0368566165,nguyentheanh2506@gmail.com,,
Nhà hàng Hoàng Nam,"558 Nguyễn Văn Cừ, P. Tân Lập, Tp Buôn Ma Thuột, Đắk Lắk, Hà Nam",,,,
Taraka Buffet,"Tầng 2- khu nhà C- Chợ Bầu , Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",0226 3518.588 - 0904 836 311,,,
Manwah - Taiwanese Hotpot,"189A Biên Hòa, Tổ 8, Phường Lương Khánh Thiện, Thành phố Phủ Lý, Hà Nam",0226 1900 6622,,https://manwah.com.vn/,
Nhà hàng Hoàn Vũ,"53 Đinh Tiên Hoàng, Thị xã Đồng Xoài, Bình Phước",0271 3778 206,,,
Hải Sản A Cọp,"Khu 5 TX, Phường Phước Bình, Thị xã Phước Long, Bình Phước",0271 097 419 34 93,haisanacop@gmail.com,,
