Tên cơ sở,Địa chỉ,Điện thoại,Fax,Email,Website
Cầu Mường Thanh,"Bế Văn Đàn, Phường Thanh Trường, Thành phố Điện Biên Phủ, Điện Biên",,,,
Cầu Hang Tôm,", Phường Na Lay, Thị Xã Mường Lay, Điện Biên",,,,
Thánh địa La Vang,"Thuộc xã Hải Phú, Xã Hải Phú, Huyện Hải Lăng, Quảng Trị",,,,
Thác Tà Puồng,"thôn Trăng Tà Puồng, Xã Hướng Việt, Huyện Hướng Hóa, Quảng Trị",,,,
Thác Chênh Vênh,"thôn Chênh Vênh, Xã Hướng Phùng, Huyện Hướng Hóa, Quảng Trị",,,,
Mũi Trèo,"Tọa lạc tại xã Vĩnh Kim (nay là xã Kim Thạch), Xã Kim Thạch, Huyện Vĩnh Linh, Quảng Trị",,,,
Làng cổ Bích La,"Xã Triệu Đông, Huyện Triệu Phong, Quảng Trị",,,,
Hang động Brai,"nằm sát biên giới Việt - Lào, thuộc địa phận thôn A Sóc, Xã Hướng Lập, Huyện Hướng Hóa, Quảng Trị",,,,
Đảo Cồn Cỏ,"Cách cảng Cửa Việt, huyện Gio Linh gần 30km, huyện Cồn Cỏ, Quảng Trị",,,,
Bãi biển Cửa Việt,"Thuộc Thị trấn Cửa Việt, Thị trấn Cửa Việt, Huyện Gio Linh, Quảng Trị",,,,
Nhà thờ Phủ Cam,"01 Đoàn Hữu Trung, Phường Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",,,,
Hồ Tịnh Tâm,"Nằm trong Kinh Thành Huế, Phường Thuận Thành, Thành phố Huế, Thừa Thiên Huế",,,,
Đồi Vọng Cảnh,"102 Huyền Trân Công Chúa, Phường Thuỷ Biều, Thành phố Huế, Thừa Thiên Huế",,,,
Chùa Từ Đàm,"01 Sư Liễu Quán, Phường Trường An, Thành phố Huế, Thừa Thiên Huế",,,,
Bảo tàng Hồ Chí Minh Thừa Thiên Huế,"7 Lê Lợi, Phường Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế",0234 384 5217,,bthcmtthue@gmail.com,https://bthcm.thuathienhue.gov.vn/
Vịnh Lăng Cô,"Thị trấn Lăng Cô, Thị trấn Lăng Cô, Huyện Phú Lộc, Thừa Thiên Huế",,,,
Núi Bạch Mã,"Xã Lộc Trì, Xã Lộc Trì, Huyện Phú Lộc, Thừa Thiên Huế",,,,
Khu du lịch Sinh thái Lái Thiêu,"Thôn Phú Túc, Xã Hòa Phú, Huyện Hòa Vang, Thành phố Đà Nẵng",0236 356 5678,,,
Đình làng Hải Châu,"Kiệt 48/14 Phan Châu Trinh, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Công viên Châu Á,"01 Phan Đăng Lưu, Phường Hòa Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng",0236 368 1666,,asiapark@sunworld.vn,https://asiapark.sunworld.vn/
Chùa Linh Ứng Sơn Trà,"Khu vực Bãi Bụt, bán đảo Sơn Trà, Phường Thọ Quang, Quận Sơn Trà, Thành phố Đà Nẵng",,,,
Bảo tàng văn hóa Phật giáo,"48 Sư Vạn Hạnh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",,,,
Bảo tàng Mỹ Thuật Đà Nẵng,"78 Lê Duẩn, Phường Thạch Thang, Quận Hải Châu, Thành phố Đà Nẵng",0236 386 5668,,btmtdn@danang.gov.vn,https://baotangmythuat.danang.gov.vn/
Thác Ồ Ồ,"Thôn Thanh Khê, Xã Tiên Châu, Huyện Tiên Phước, Quảng Nam",,,,
Rừng dừa Bảy Mẫu,"thôn Thanh Nhứt, Thanh Tam, Vạn Lăng, Xã Cẩm Thanh, Thành phố Hội An, Quảng Nam",,,,
Quần thể Tượng đài Mẹ Việt Nam anh hùng,"Thôn Phú Thạnh, Xã Tam Phú, Thành phố Tam Kỳ, Quảng Nam",0235 350 6507,,bqltdmvnah@gmail.com,
Nhà lưu niệm Huỳnh Thúc Kháng,"Thôn 1, Xã Tiên Cảnh, Huyện Tiên Phước, Quảng Nam",,,,
Biển Rạng,"thôn 5, Xã Tam Quang, Huyện Núi Thành, Quảng Nam",,,,
Vườn Anh Đào Mường Phăng,", Xã Mường Đăng, Huyện Mường Ảng, Điện Biên",,,,
Tháp Mường Luân,"Bản Mường Luân, Xã Mường Luân, Huyện Điện Biên Đông, Điện Biên",,,,
Thành Bản Phủ,", Xã Noọng Hẹt, Huyện Điện Biên, Điện Biên",,,,
Suối Khoáng Nóng Hua Pe,", Xã Thanh Luông, Huyện Điện Biên, Điện Biên",,,,
Khu bảo tồn thiên nhiên Mường Nhé,"Khu bảo tồn thiên nhiên Mường Nhé được đánh giá là khu bảo tồn thuộc loại lớn của Việt Nam, Xã Chung Chải, Huyện Mường Nhé, Điện Biên",,,,
Hang Thẩm Púa,"Bản Pó, Xã Chiềng Đông, Huyện Tuần Giáo, Điện Biên",,,,
Hang Mường Tỉnh,"Bản Trống, Xã Xa Dung, Huyện Điện Biên Đông, Điện Biên",,,,
Động Pa Thơm,", Xã Pa Thơm, Huyện Điện Biên, Điện Biên",,,,
Động Xá Nhè,", Xã Sáng Nhè, Huyện Tủa Chùa, Điện Biên",,,,
Đồi Độc Lập,", Xã Thanh Nưa, Huyện Điện Biên, Điện Biên",,,,
Đồi C1,"Cứ điểm C1 nằm trên điểm cao 493, cao 50 m, là một quả đồi nhọn, Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Du lịch cộng đồng Bản Mển,"Bản Mển , Xã Thanh Nưa, Huyện Điện Biên, Điện Biên",,,,
Biển Quy Nhơn,"Trung tâm thành phố Quy Nhơn, Phường Trần Phú, Thành phố Qui Nhơn, Bình Định",,,,
Vịnh Cam Ranh,"thuộc thành phố Cam Ranh và huyện Cam Lâm, Thành phố Cam Ranh, Khánh Hòa",,,,
Thác Tà Gụ,"thôn Tà Gụ, Xã Sơn Hiệp, Huyện Khánh Sơn, Khánh Hòa",,,,
Suối Hoa Lan,"Bán đảo Hòn Hèo, vịnh Nha Phu, Xã Ninh Phú, Thị xã Ninh Hòa, Khánh Hòa",,,,
Suối Ba Hồ,"Thôn Vạn Thuận, Xã Ninh Ích, Thị xã Ninh Hòa, Khánh Hòa",,,,
Làng cổ Phú Vinh,"Thôn Phú Vinh, Xã Vĩnh Thạnh, Thành phố Nha Trang, Khánh Hòa",,,,
Khu di tích Trường Dục Thanh,"39 Trưng Nhị, Phường Đức Nghĩa, Thành phố Phan Thiết, Bình Thuận",0252 381 8728,,ducthanh@gmail.com,
Tháp nước Phan Thiết,"Đường Bà Triệu, Phường Bình Hưng, Thành phố Phan Thiết, Bình Thuận",0252 381 0801,,thapnuoc@gmail.com,
Gành Son,"Xã Chí Công, Xã Chí Công, Huyện Tuy Phong, Bình Thuận",,,ganhson@gmail.com,
Đồi cát bay Mũi Né,"Khu phố 5, Phường Mũi Né, Thành phố Phan Thiết, Bình Thuận",0252 374 8111,,doicatbay@gmail.com,
Dinh Thầy Thím,"Thôn Hiệp Tiến, Xã Tân Tiến, Thị xã La Gi, Bình Thuận",0252 387 4614,,dinhthaythim@gmail.com,
Bàu Trắng,"thôn Hồng Lâm, Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận",0252 386 0176,,bautrang@gmail.com,
Bãi biển Mỹ Khê,"Biển Mỹ Khê, Xã Tịnh Khê, Thành phố Quảng Ngãi, Quảng Ngãi",,,,
Thạch Ky điếu tẩu,"thôn An Vĩnh, Xã Tịnh Kỳ, Thành phố Quảng Ngãi, Quảng Ngãi",,,,
Hang Câu,"Dưới chân núi Thới Lới, xã An Hải, Huyện Lý Sơn, Quảng Ngãi",,,,
Gành Yến,"Thôn Thanh Thủy, Xã Bình Hải, Huyện Bình Sơn, Quảng Ngãi",,,,
Di tích Chiến thắng Mỏ Cày,"thôn 1, Xã Đức Chánh, Huyện Mộ Đức, Quảng Ngãi",,,,
Bảo tàng Tổng hợp tỉnh Quảng Ngãi,"99 Lê Trung Đình, Phường Trần Hưng Đạo, Thành phố Quảng Ngãi, Quảng Ngãi",0255 382 3849,,baotangquangngai@gmail.com,http://baotangquangngai.com
Bãi biển Sa Huỳnh,"Biển Sa Huỳnh, Quốc lộ 1A, Phường Phổ Thạnh, Huyện Đức Phổ, Quảng Ngãi",,,,
Di tích lịch sử Sơn Mỹ,"Thôn Tư Cung, Huyện Sơn Tịnh, Quảng Ngãi",,,,
Đảo Lý Sơn,"Nằm về phía Đông Bắc tỉnh Quảng Ngãi, Huyện Lý Sơn, Quảng Ngãi",,,,
Thắng cảnh Eo Gió,"thôn Lý Lương, Xã Nhơn Lý, Thành phố Qui Nhơn, Bình Định",0256 370 1195,,,
Đầm Thị Nại,"Nằm trên địa phận TP Quy Nhơn, huyện Tuy Phước, huyện Phù Cát, Phường Hải Cảng, Thành phố Qui Nhơn, Bình Định",,,,
Khu sinh thái Cồn Chim,"xã Phước Sơn, Phước Hòa, Phước Thuận, Huyện Tuy Phước, Bình Định",,,,
Bảo tàng Tổng hợp,"26 Nguyễn Huệ, Phường Lê Lợi, Thành phố Qui Nhơn, Bình Định",0256 382 2452,,,http://baotangbinhdinh.com.vn/
Nhà thờ Mằng Lăng,"Thôn Mằng Lăng, Xã An Thạch, Huyện Tuy An, Phú Yên",,,,
Không gian trưng bày Quảng Đức Xưa,"Khu phố Ngân Sơn, Thị trấn Chí Thạnh, Huyện Tuy An, Phú Yên",,,,
Hòn lao Mái Nhà,"Thôn Phước Đồng, Huyện Tuy An, Phú Yên",,,,
Hòn Chùa,"Vùng biển Long Thủy, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",,,,
Bảo tàng Phú Yên,"151 Trần Phú, Phường 5, Thành phố Tuy Hoà, Phú Yên",0257 655 6607,,,
Núi Đá Bia,"Tọa lạc trên khối núi Đại Lãnh thuộc dãy núi Đèo Cả, Xã Hòa Xuân Nam, Huyện Đông Hòa, Phú Yên",,,,
Đồng Cừu An Hòa,"Thôn An Hòa, Xã Xuân Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Hòn Đỏ,"Thôn Mỹ Hiệp, Xã Thanh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Vườn nho Ba Mọi,"Thôn Hiệp Hòa, Xã Phước Thuận, Huyện Ninh Phước, Ninh Thuận",0259 396 8048,,,http://nhobamoi.com.vn/
Cồn cát trắng Tuấn Tú,"Thôn Tuấn Tú, Xã An Hải, Huyện Ninh Phước, Ninh Thuận",,,,
Trùng Sơn Cổ Tự,"Núi Đá Chồng, Thị trấn Khánh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Tháp Pô Klông Garai,"Khu phố 8, Phường Đô Vinh, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",,,,
Sở chỉ huy chiến dịch Điện Biên Phủ,", Xã Mường Phăng, Thành phố Điện Biên Phủ, Điện Biên",,,,
Suối nước nóng U Va,", Xã Noong Luống, Huyện Điện Biên, Điện Biên",,,,
Cánh đồng Mường Thanh,", Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Du lịch A Pa Chải,", Xã Sín Thầu, Huyện Mường Nhé, Điện Biên",,,,
Chợ phiên vùng cao Tả Sìn Thàng,", Xã Tả Sìn Thàng, Huyện Tủa Chùa, Điện Biên",,,,
Di tích đồi Him Lam,", Phường Him Lam, Thành phố Điện Biên Phủ, Điện Biên",,,,
Khu di tích hầm Đờ Cát,", Phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",,,,
Hải đăng Mũi Dinh,"Thôn Sơn Hải, Xã Phước Vinh, Huyện Ninh Phước, Ninh Thuận",,,,
Bảo tàng Ninh Thuận,"Quảng trường 16/4, Phường Tấn Tài, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",0259 382 3695,,baotangninhthuan@gmail.com,
Khu du lịch sinh thái Sakai,"KM50 - QL27A, Xã Lâm Sơn, Huyện Ninh Sơn, Ninh Thuận",,,,
Làng dệt thổ cẩm Chăm Mỹ Nghiệp,"Quốc lộ 1A, Thị trấn Phước Dân, Huyện Ninh Phước, Ninh Thuận",,,,
Làng nghề gốm Bàu Trúc,"Quốc lộ 1A, Thị trấn Phước Dân, Huyện Ninh Phước, Ninh Thuận",,,,
Đền Bà Chúa Kho,"Làng Cô Mễ, Phường Vũ Ninh, Thành phố Bắc Ninh, Bắc Ninh",,,,
Đền Vua Bà,"Nằm giữa quần thể kiến trúc khu Viêm Xá (tên nôm làng Diềm), Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,,,
Đình Đẩu Hàn,"Thôn Đẩu Hàn, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,,,
Lễ hội chùa Đống Lân,", Xã Hưng Đạo, Thành phố Cao Bằng, Cao Bằng",,,,
Chùa Đống Lân,", Xã Hưng Đạo, Thành phố Cao Bằng, Cao Bằng",,,,
Vườn hoa cẩm tú,"Nằm tại xóm Phia Đén, Xã Thành Công, Huyện Nguyên Bình, Cao Bằng",,,,
Đèo Mã Phục,"Xóm Cao Xuyên, xã Quốc Toản, Huyện Trà Lĩnh, Cao Bằng",,,,
Lễ hội Đền Vua Lê,"Làng Đền, Xã Hoàng Tung, Huyện Hoà An, Cao Bằng",,,,
Hồ Thang Hen,"Hồ Thang Hen thuộc địa phận xã Quốc Toản, Huyện Trà Lĩnh, Cao Bằng",,,,
Vườn Quốc gia Phja Oắc - Phja Đén,"Nằm trên địa bàn 4 xã: Thành Công, Quang Thành, Phan Thanh, Hưng Đạo và thị trấn Tĩnh Túc, Huyện Nguyên Bình, Cao Bằng",,,,
Lễ hội Đền Kỳ Sầm,"Bản Ngần, Xã Vĩnh Quang, Thành phố Cao Bằng, Cao Bằng",,,,
Lễ hội đền Dẻ Đoóng,"Làng Dẻ Đoóng, Xã Hồng Việt, Huyện Hoà An, Cao Bằng",,,,
Chùa Phật tích Trúc Lâm Bản Giốc,"Tọa lạc trên ngọn núi Phia Nhằm, Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",,,,
Đồn Phai Khắt,", Xã Tam Kim, Huyện Nguyên Bình, Cao Bằng",,,,
Chùa Vân An,"Làng Chùa, Xã Hồng Trị, Huyện Bảo Lạc, Cao Bằng",,,,
Đền Vua Lê,"Làng Đền, Xã Hoàng Tung, Huyện Hoà An, Cao Bằng",,,,
Lễ hội pháo hoa Quảng Uyên,", Thị trấn Quảng Uyên, Huyện Quảng Uyên, Cao Bằng",,,,
Lễ hội Thanh Minh,"Dân tộc Nùng An, Xã Phúc Sen, Huyện Quảng Uyên, Cao Bằng",,,,
Lễ hội Mời Mẹ Trăng,", Huyện Phục Hoà, Cao Bằng",,,,
Lễ hội Lồng Tồng,"Các huyện, xã ở Cao Bằng có người Tày – Nùng sinh sống, Cao Bằng",,,,
Khu di tích Chủ tịch Hồ Chí Minh với chiến dịch biên giới 1950,"Khu di tích tại Nà Lạn, cách thành phố Cao Bằng 60 km đi theo đường quốc lộ số 4, Xã Đức Long, Huyện Thạch An, Cao Bằng",,,,
Di tích Hoàng Đình Giong,"Làng Nà Toàn, Phường Đề Thám, Thành phố Cao Bằng, Cao Bằng",,,,
Nhà thờ Chính tòa Bắc Ninh,", Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,,,
Giếng Ngọc - Đền Cùng,"Khu Viêm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,,,
Làng tranh Đông Hồ,"Làng tranh Đông Hồ, Xã Song Hồ, Huyện Thuận Thành, Bắc Ninh",,,,
Lăng Kinh Dương Vương,"Thôn Á Lữ, Xã Đại Đồng Thành, Huyện Thuận Thành, Bắc Ninh",,,,
Thành cổ Luy Lâu,", Xã Trí Quả, Huyện Thuận Thành, Bắc Ninh",,,,
Văn Miếu Bắc Ninh,"Thuộc Khu 10, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",,,,
Đền Dẻ Đoóng,"Đền Dẻ Đoóng cách trung tâm thành phố Cao Bằng khoảng 20km, Xã Hồng Việt, Huyện Hoà An, Cao Bằng",,,,
Khu di tích anh hùng liệt sỹ Kim Đồng,"Làng Nà Mạ, Xã Trường Hà, Huyện Hà Quảng, Cao Bằng",,,,
Đền Kỳ Sầm,", Xã Vĩnh Quang, Thành phố Cao Bằng, Cao Bằng",,,,
Làng rèn Phúc Sen,", Xã Phúc Sen, Huyện Quảng Uyên, Cao Bằng",,,,
Di tích Pắc Bó,", Xã Trường Hà, Huyện Hà Quảng, Cao Bằng",,,,
Khu di tích rừng Trần Hưng Đạo,", Xã Tam Kim, Huyện Nguyên Bình, Cao Bằng",,,,
Khu di tích Đông Khê,", Thị trấn Đông Khê, Huyện Thạch An, Cao Bằng",,,,
Động Ngườm Ngao,", Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",,,,
Thác Bản Giốc,", Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",,,,
Thành cổ Bắc Ninh,"Làng Hòa Ðình, Phường Vệ An, Thành phố Bắc Ninh, Bắc Ninh",,,,
Chùa Tiêu Sơn,"Xưa có tên là chùa Lục Tổ, tọa lạc ở sườn núi Tiêu, Xã Tương Giang, Thị xã Từ Sơn, Bắc Ninh",,,,
Chùa Sùng Phúc,"Làng Huyền Ru, Thị trấn Thanh Nhật, Huyện Hạ Lang, Cao Bằng",,,,
Chùa Đà Quận,"Làng Đà Quận, Xã Hưng Đạo, Thành phố Cao Bằng, Cao Bằng",,,,
Lễ hội chùa Phật Tích,"Nằm ngang trên núi Tiên Du (còn gọi là Lạn Kha), Xã Phật Tích, Huyện Tiên Du, Bắc Ninh",,,,
Lễ hội chùa Dâu,", Xã Thanh Khương, Huyện Thuận Thành, Bắc Ninh",,,,
Lễ hội đình Đình Bảng,"Làng Đình Bảng, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,,,
Lễ hội làng tranh Đông Hồ,"Làng tranh Đông Hồ, Xã Song Hồ, Huyện Thuận Thành, Bắc Ninh",,,,
Lễ hội đền Vua bà,"Làng Viêm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,,,
Lễ hội đền Bà Chúa Kho,"Làng Cô Mễ, Phường Vũ Ninh, Thành phố Bắc Ninh, Bắc Ninh",,,,
Lễ hội chùa Bút Tháp,"Thôn Bút Tháp, Xã Đình Tổ, Huyện Thuận Thành, Bắc Ninh",,,,
Làng quan họ Viêm Xá,"Làng Diềm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,,,
Làng nghề đúc đồng Đại Bái,"Làng Bưởi, Xã Đại Bái, Huyện Gia Bình, Bắc Ninh",,,,
Lễ hội làng Đồng Kỵ,", Phường Đồng Kỵ, Thị xã Từ Sơn, Bắc Ninh",,,,
Đền thờ Lê Phụng Hiểu,"Thuộc khu Hòa Đình, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",,,,
Chùa Phúc Lâm,"Nằm ở phía Tây làng Tam Tảo , Xã Phú Lâm, Huyện Tiên Du, Bắc Ninh",,,,
Đình - Chùa Khúc Toại,"Nằm ở gần đường Đường Đê, Phường Khúc Xuyên, Thành phố Bắc Ninh, Bắc Ninh",,,,
Chùa Dạm,", Phường Nam Sơn, Thành phố Bắc Ninh, Bắc Ninh",,,,
Chùa Đại Bi,"Thôn Vạn Ty, Xã Thái Bảo, Huyện Gia Bình, Bắc Ninh",,,,
Hội Lim,"Đồi Lim, Thị trấn Lim, Huyện Tiên Du, Bắc Ninh",,,,
Lễ hội đền Đô,"Làng Ðình Bảng, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,,,
Chùa Tổ (Phúc Nghiêm tự),"Làng Mãn Xá, Xã Hà Mãn, Huyện Thuận Thành, Bắc Ninh",,,,
Chùa Tam Sơn,"Thuộc làng Tam Sơn, Xã Tam Sơn, Thị xã Từ Sơn, Bắc Ninh",,,,
Thác Roọm,"Cách thị xã Bắc Kạn khoảng 8km, Xã Quang Thuận, Huyện Bạch Thông, Bắc Kạn",,,,
Thác Đầu Đẳng,"Thác Đầu Đẳng là một thắng cảnh trong khu vực Vườn quốc gia Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Đền Thắm,"Đền có địa thế dựa vào chân núi nhìn ra ngã ba con sông Cầu, thuộc thị trấn Chợ Mới, Huyện Chợ Mới, Bắc Kạn",,,,
Điểm du lịch Phya Khao,"Cách trung tâm Tỉnh Bắc Kạn khoảng 57 km, Huyện Chợ Đồn, Bắc Kạn",,,,
Chùa Thạch Long,", Xã Cao Kỳ, Huyện Chợ Mới, Bắc Kạn",,,,
Vườn Quốc Gia Ba Bể,"Là một vườn quốc gia, rừng đặc dụng, khu du lịch sinh thái của Việt Nam, Huyện Ba Bể, Bắc Kạn",,,,
Di tích Đèo Giàng,"Cách thành phố Bắc Kạn 24km về phía bắc, Huyện Ngân Sơn, Bắc Kạn",,,,
Chợ tình Xuân Dương,"Cách thị xã Bắc Kạn 45km, Xã Xuân Dương, Huyện Na Rì, Bắc Kạn",,,,
Lễ hội Lồng tồng,"Lễ hội được tổ chức tại ven hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Lễ hội Đền Từ Hả,", Xã Hồng Giang, Huyện Lục Ngạn, Bắc Giang",,,,
Lễ hội Thổ Hà,"Làng Thổ Hà, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,,,
Lễ hội Yên Thế,"Khu di tích lịch sử Hoàng Hoa Thám, thị trấn Cầu Gồ, Huyện Yên Thế, Bắc Giang",,,,
Lễ hội Suối Mỡ,"Tại Đền Mẫu Đầm Đa ở khu du lịch sinh thái Suối Mỡ, Xã Nghĩa Phương, Huyện Lục Nam, Bắc Giang",,,,
Làng gốm Thổ Hà,"Làng gốm Thổ Hà thuộc vùng Kinh Bắc, nằm ven dòng sông Cầu, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,,,
Khu di tích Khởi nghĩa Yên Thế,"Cách Thành phố Bắc Giang 28 km về phía Tây Bắc, Huyện Yên Thế, Bắc Giang",,,,
Cây dã hương nghìn năm tuổi,", Xã Tiên Lục, Huyện Lạng Giang, Bắc Giang",,,,
Hồ Khe Chão,"Hồ Khe Chão thuộc địa bàn thôn Tẩu, Xã Long Sơn, Huyện Sơn Động, Bắc Giang",,,,
Chùa Kim Tràng,", Xã Việt Lập, Huyện Tân Yên, Bắc Giang",,,,
Chùa Vẽ,"Chùa Vẽ thuộc làng Vẽ, Phường Thọ Xương, Thành phố Bắc Giang, Bắc Giang",,,,
Đền Nguyệt Hồ,", Xã Hương Vĩ, Huyện Yên Thế, Bắc Giang",,,,
Thác Ba Tia,"Cách TP Bắc Giang hơn 80km, Huyện Sơn Động, Bắc Giang",,,,
Cánh Đồng Hoa Hướng Dương,"Phố Thanh Mai, Phường Đa Mai, Thành phố Bắc Giang, Bắc Giang",,,,
Khu Du Lịch Sinh Thái Đồng Thông,"Nằm cách Hà Nội chừng 140km, Huyện Sơn Động, Bắc Giang",,,,
Khu bảo tồn thiên nhiên Tây Yên Tử,"Cách Hà Nội chừng 150km về phía Đông Bắc, Huyện Sơn Động, Bắc Giang",,,,
Lăng Dinh Hương,"Là một quần thể kiến trúc điêu khắc đá hoành tráng, thuộc làng Dinh Hương, xã Đức Thắng, Huyện Hiệp Hòa, Bắc Giang",,,,
Thác nước Hang Chiêng - Khe Nương Dâu,", Xã Tuấn Đạo, Huyện Sơn Động, Bắc Giang",,,,
Thành cổ Xương Giang,"Xương Giang là một thành cổ hiện chỉ còn lại tàn tích, Phường Xương Giang, Thành phố Bắc Giang, Bắc Giang",,,,
Tây Yên Tử,"Tây Yên Tử phía Đông thuộc Quảng Ninh, phía Tây thuộc Bắc Giang, Huyện Sơn Động, Bắc Giang",,,,
Lễ hội Xuân Ba Bể,"Lễ hội đầu năm của đồng bào các dân tộc vùng hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
"Khu ATK, Chợ Đồn Bắc Kạn","Thuộc quần thể di tích Việt Bắc, Thị trấn Bằng Lũng, Huyện Chợ Đồn, Bắc Kạn",,,,
Di tích Đồn Phủ Thông,"Cách thành phố Bắc Kạn 18 km về phía bắc, Thị trấn Phủ Thông, Huyện Bạch Thông, Bắc Kạn",,,,
Khu di tích lịch sử Nà Tu,"Cách thị xã Bắc Kạn 9km về phía bắc, Xã Cẩm Giàng, Huyện Bạch Thông, Bắc Kạn",,,,
Khu Bảo Tồn Thiên Nhiên Kim Hỷ,"Nằm trên địa bàn các xã Kim Hỷ, Lương Thượng, Lạng San, Ân Tình, Côn Minh, Huyện Na Rì, Bắc Kạn",,,,
Hồ Sinh Thái Bản Chang,"Cách Trung tâm huyện lỵ huyện Ngân Sơn 6 Km về phía nam, Xã Đức Vân, Huyện Ngân Sơn, Bắc Kạn",,,,
Đèo Gió,"Nằm trên trục đường Quốc lộ 3 đoạn từ Bắc Kạn lên Cao Bằng, Huyện Ngân Sơn, Bắc Kạn",,,,
Thác Nà Khoang,"Nằm dưới chân núi “Già Cáy” thuộc bản Nà Khoang, Thị trấn Nà Phặc, Huyện Ngân Sơn, Bắc Kạn",,,,
Động Hua Mạ,"Thuộc bản Pắc Ngòi, Xã Quảng Khê, Huyện Ba Bể, Bắc Kạn",,,,
Động Nàng Tiên,"Cách thị trấn Yến Lạc 5 km về phía đông, xã Lương Hạ, Huyện Na Rì, Bắc Kạn",,,,
Động Nả Phoòng,"Nằm trong Vườn quốc gia hồ Ba bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Đền An Mã,"Toạ lạc trên đảo An Mã giữa hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Thác Bạc bản Vàng,"Cách động Hua Mạ 3km về phía tây bắc, Xã Hoàng Trĩ, Huyện Ba Bể, Bắc Kạn",,,,
Bản Du Lịch Pác Ngòi,"Cách thị xã Bắc Kạn khoảng 50km, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Đảo Bà Góa,"Nằm gọn trong hồ Ba Bể, nằm trên địa bàn 5 xã Nam Mẫu, Khang Ninh, Cao Thương, Quảng Khê, Cao Trĩ, Huyện Ba Bể, Bắc Kạn",,,,
Ao Tiên,"Nằm ở góc hồ ba của hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,,,
Làng nghề tương Bần,", Phường Bần Yên Nhân, Huyện Mỹ Hào, Hưng Yên",,,,
Làng nghề Đúc đồng Lộng Thượng,"Làng Lộng Thượng, Xã Đại Đồng, Huyện Văn Lâm, Hưng Yên",,,,
Hồ Bán Nguyệt,"đường Bãi Sậy, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên",,,,
Đình Đa Ngưu - Đình trăm cột,", Xã Tân Tiến, Huyện Văn Giang, Hưng Yên",,,,
Đền Phượng Hoàng,", Xã Minh Tiến, Huyện Phù Cừ, Hưng Yên",,,,
Cụm di tích đền Đa Hòa - đền Dạ Trạch - cửa Hàm Tử - Bãi Sậy,", Huyện Khoái Châu, Hưng Yên",,,,
Chùa Thái Lạc,", Xã Lạc Hồng, Huyện Văn Lâm, Hưng Yên",,,,
Chùa Phú Thị,", Xã Mễ Sở, Huyện Văn Giang, Hưng Yên",,,,
Chùa Hương Lãng,"Thôn Hương Lãng, Xã Minh Hải, Huyện Văn Lâm, Hưng Yên",,,,
Văn Miếu Hưng Yên,"Làng Xích Đằng, Phường Lam Sơn, Thành phố Hưng Yên, Hưng Yên",,,,
Làng Rượu Vân Hà,"Rượu Làng Vân được nấu bằng gạo nếp cái hoa vàng thơm ngon trồng trên cánh đồng làng Vân Xá, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,,,
